number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,14800000.0,5.0,31.0,5.0,,,1977.0,,совмещенный,полностью меблирована
3-комнатная квартира,69000000.0,14.0,92.0,17.0,R-House,монолитный,2020.0,,2 с/у и более,частично меблирована
2-комнатная квартира,27500000.0,4.0,53.3,4.0,,,1965.0,,раздельный,
4-комнатная квартира,46000000.0,2.0,100.0,9.0,,,1986.0,,раздельный,
2-комнатная квартира,56095000.0,,86.3,,Hayat Park,,2021.0,3.3,2 с/у и более,
1-комнатная квартира,34296450.0,,49.0,,4YOU,,2022.0,2.7,совмещенный,
3-комнатная квартира,70265000.0,,108.1,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,39600000.0,,80.0,,Rams city,,2023.0,2.7,раздельный,
1-комнатная квартира,40072900.0,,60.26,,Jer-Ana Residence,,2022.0,3,совмещенный,
4-комнатная квартира,79981100.0,,152.2,,Сакура,,2020.0,3.3,2 с/у и более,
3-комнатная квартира,60320000.0,,92.8,,Hayat Park,,2021.0,3.3,2 с/у и более,
1-комнатная квартира,34651800.0,,50.0,,4YOU,,2022.0,2.7,совмещенный,
3-комнатная квартира,54778800.0,,103.4,,Sholpan City,,2020.0,2.9,2 с/у и более,
3-комнатная квартира,44500000.0,5.0,85.0,12.0,Симфония,монолитный,2016.0,2.75,совмещенный,полностью меблирована
2-комнатная квартира,20500000.0,2.0,42.0,4.0,,,1962.0,2.65,совмещенный,полностью меблирована
4-комнатная квартира,200000000.0,1.0,200.0,5.0,Ботанический Cад,монолитный,2006.0,3,2 с/у и более,полностью меблирована
3-комнатная квартира,23500000.0,3.0,56.0,5.0,,,1975.0,,раздельный,
1-комнатная квартира,20000000.0,3.0,32.0,5.0,,,1977.0,2.7,совмещенный,полностью меблирована
3-комнатная квартира,63000000.0,5.0,123.0,14.0,Шахристан,монолитный,2014.0,2.95,2 с/у и более,полностью меблирована
2-комнатная квартира,62790000.0,,96.6,,Hayat Park,,2021.0,3.3,2 с/у и более,
1-комнатная квартира,34901750.0,,53.0,,4YOU,,2022.0,2.7,совмещенный,
3-комнатная квартира,39748500.0,,80.3,,Rams city,,2023.0,2.7,совмещенный,
4-комнатная квартира,72215000.0,,111.1,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,56018300.0,,106.6,,Сакура,,2020.0,3.3,совмещенный,
3-комнатная квартира,62000000.0,4.0,122.0,15.0,Тау Самал на Навои,монолитный,2011.0,3,2 с/у и более,частично меблирована
2-комнатная квартира,35314650.0,10.0,69.93,12.0,Union,монолитный,2022.0,3,,
3-комнатная квартира,37999999.0,2.0,80.0,12.0,,,1992.0,,,
2-комнатная квартира,28000000.0,5.0,51.7,5.0,,,1987.0,,раздельный,
1-комнатная квартира,37500000.0,11.0,49.0,18.0,Талисман,,2008.0,,совмещенный,
2-комнатная квартира,49461750.0,,76.0,,4YOU,,2022.0,2.7,совмещенный,
2-комнатная квартира,20000000.0,5.0,43.5,5.0,,,1975.0,2.7,совмещенный,
2-комнатная квартира,27500000.0,2.0,53.0,5.0,,,1988.0,2.8,раздельный,частично меблирована
4-комнатная квартира,240000000.0,1.0,500.0,2.0,Хуторок,кирпичный,2017.0,4.5,раздельный,полностью меблирована
3-комнатная квартира,110000000.0,5.0,125.0,21.0,AFD Plaza,монолитный,2015.0,3,2 с/у и более,пустая
2-комнатная квартира,27500000.0,2.0,56.0,5.0,,,1980.0,2.7,раздельный,частично меблирована
1-комнатная квартира,16000000.0,1.0,30.0,4.0,,,1962.0,,совмещенный,
2-комнатная квартира,50000000.0,8.0,75.1,21.0,Central Avenue,монолитный,2022.0,3,2 с/у и более,пустая
3-комнатная квартира,21500000.0,4.0,56.0,4.0,,,1965.0,,совмещенный,частично меблирована
2-комнатная квартира,24500000.0,5.0,48.0,8.0,,,1977.0,2.7,раздельный,частично меблирована
2-комнатная квартира,29400000.0,5.0,63.0,8.0,,,1977.0,,раздельный,
2-комнатная квартира,23500000.0,5.0,52.0,5.0,,,1984.0,2.7,раздельный,
4-комнатная квартира,75075000.0,,115.5,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,40540500.0,,81.9,,Rams city,,2023.0,2.7,2 с/у и более,
3-комнатная квартира,57226950.0,,108.9,,Сакура,,2020.0,3.3,совмещенный,
2-комнатная квартира,20000000.0,2.0,45.1,4.0,,,1962.0,,совмещенный,частично меблирована
2-комнатная квартира,35900000.0,7.0,76.0,10.0,Импорио,,2009.0,3,,
4-комнатная квартира,125000000.0,4.0,136.7,9.0,Комфорт,монолитный,2017.0,3,,
3-комнатная квартира,125000000.0,4.0,160.0,4.0,Долина роз,монолитный,2006.0,3.5,2 с/у и более,полностью меблирована
4-комнатная квартира,128000000.0,18.0,144.0,21.0,Central Avenue,монолитный,2020.0,3,2 с/у и более,полностью меблирована
3-комнатная квартира,23800000.0,5.0,60.0,5.0,,,1972.0,,раздельный,
1-комнатная квартира,17800000.0,19.0,33.6,19.0,Айгерим,монолитный,2012.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,21000000.0,4.0,43.0,5.0,,,1982.0,3,раздельный,полностью меблирована
2-комнатная квартира,37000000.0,7.0,55.0,12.0,Element,,,,,
3-комнатная квартира,42000000.0,5.0,69.0,5.0,,,1984.0,,раздельный,
2-комнатная квартира,32500000.0,14.0,60.0,17.0,Гаухартас,монолитный,2010.0,3,,полностью меблирована
4-комнатная квартира,53000000.0,1.0,80.0,5.0,,кирпичный,1987.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,80000000.0,6.0,125.0,18.0,Шахристан,монолитный,2014.0,2.95,раздельный,полностью меблирована
2-комнатная квартира,24000000.0,2.0,42.0,12.0,,,2017.0,,совмещенный,
3-комнатная квартира,57108150.0,10.0,115.37,12.0,Union,монолитный,2022.0,3,,
3-комнатная квартира,59000000.0,8.0,85.0,17.0,4YOU,монолитный,2021.0,2.7,2 с/у и более,частично меблирована
2-комнатная квартира,50000000.0,3.0,67.0,10.0,Комфорт,монолитный,2015.0,3,совмещенный,полностью меблирована
3-комнатная квартира,64900000.0,2.0,101.0,22.0,Бухар Жырау Тауэрс,монолитный,2008.0,3,раздельный,частично меблирована
2-комнатная квартира,25500000.0,5.0,47.8,5.0,,,1977.0,2.7,совмещенный,полностью меблирована
2-комнатная квартира,23000000.0,2.0,43.0,5.0,,,1985.0,2.8,совмещенный,полностью меблирована
3-комнатная квартира,60000000.0,3.0,80.0,12.0,Element,монолитный,2020.0,3,раздельный,частично меблирована
2-комнатная квартира,20500000.0,4.0,42.0,5.0,,,1973.0,,,
2-комнатная квартира,21000000.0,2.0,45.0,5.0,,,1973.0,,,
3-комнатная квартира,35000000.0,8.0,72.0,9.0,,,1986.0,2.8,раздельный,частично меблирована
2-комнатная квартира,35800000.0,20.0,77.0,21.0,КУАТ на Сатпаева - Гагарина,монолитный,2007.0,3,раздельный,частично меблирована
2-комнатная квартира,34500000.0,10.0,60.0,12.0,Акварель,монолитный,2017.0,2.74,раздельный,частично меблирована
3-комнатная квартира,62500000.0,2.0,127.0,12.0,Бай–тал,монолитный,2016.0,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,29000000.0,7.0,60.0,9.0,,,1995.0,2.8,раздельный,частично меблирована
3-комнатная квартира,57926400.0,,121.4,,Sholpan City,,2020.0,2.9,2 с/у и более,
2-комнатная квартира,28000000.0,5.0,51.7,5.0,,,1987.0,,раздельный,частично меблирована
2-комнатная квартира,26500000.0,4.0,52.1,5.0,,,1987.0,,раздельный,
2-комнатная квартира,25500000.0,4.0,55.3,9.0,,,1991.0,,раздельный,полностью меблирована
2-комнатная квартира,23900000.0,5.0,48.4,5.0,,,1980.0,,раздельный,частично меблирована
3-комнатная квартира,26800000.0,3.0,60.0,5.0,,,1976.0,,раздельный,
3-комнатная квартира,28500000.0,4.0,59.0,5.0,,,1974.0,,раздельный,
3-комнатная квартира,25500000.0,3.0,58.0,4.0,,панельный,1971.0,,совмещенный,
