number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,14300000.0,1.0,37.0,4.0,,,1971,,раздельный,частично меблирована
2-комнатная квартира,11000000.0,2.0,48.0,2.0,,,1960,,раздельный,
1-комнатная квартира,15200000.0,3.0,34.4,5.0,,,1986,,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,2.0,52.0,2.0,,,1958,,,
2-комнатная квартира,20000000.0,1.0,43.0,3.0,,,1960,2.85,раздельный,частично меблирована
2-комнатная квартира,29900000.0,3.0,72.2,3.0,,,2020,3.0,совмещенный,частично меблирована
3-комнатная квартира,14000000.0,1.0,53.0,2.0,,,,2.5,раздельный,частично меблирована
3-комнатная квартира,20000000.0,4.0,62.0,4.0,,панельный,1967,2.6,раздельный,
3-комнатная квартира,29000000.0,1.0,70.0,3.0,,,1977,2.7,раздельный,
3-комнатная квартира,15600000.0,1.0,52.6,2.0,,,,2.5,раздельный,
3-комнатная квартира,28430000.0,5.0,68.5,5.0,,,1989,,раздельный,
3-комнатная квартира,28000000.0,4.0,66.0,5.0,,,1991,2.8,раздельный,частично меблирована
4-комнатная квартира,50000000.0,2.0,112.0,3.0,Nomad City,монолитный,2021,3.0,2 с/у и более,пустая
1-комнатная квартира,13300000.0,9.0,44.0,10.0,Теремки,монолитный,2021,2.7,,
2-комнатная квартира,23500000.0,3.0,65.0,9.0,,,2015,,раздельный,
3-комнатная квартира,20000000.0,2.0,62.0,2.0,,,1959,3.2,раздельный,полностью меблирована
3-комнатная квартира,19000000.0,2.0,64.0,2.0,,,1977,,раздельный,
2-комнатная квартира,17200000.0,1.0,53.0,2.0,,,1976,2.9,раздельный,частично меблирована
3-комнатная квартира,28500000.0,1.0,62.0,4.0,,,1999,3.0,раздельный,
2-комнатная квартира,13000000.0,1.0,49.7,2.0,,,,2.8,совмещенный,частично меблирована
2-комнатная квартира,18000000.0,1.0,48.0,2.0,,,1964,3.0,раздельный,частично меблирована
3-комнатная квартира,32000000.0,2.0,70.0,5.0,,,1991,,раздельный,полностью меблирована
3-комнатная квартира,18000000.0,3.0,57.3,3.0,,,1965,,,
2-комнатная квартира,10700000.0,1.0,45.5,2.0,,,,,совмещенный,
1-комнатная квартира,16000000.0,4.0,44.0,9.0,,,2015,3.0,совмещенный,частично меблирована
3-комнатная квартира,18500000.0,1.0,52.0,3.0,,,1983,2.7,совмещенный,полностью меблирована
2-комнатная квартира,13500000.0,1.0,45.5,2.0,,,,,совмещенный,
2-комнатная квартира,20500000.0,3.0,52.0,5.0,,,1989,2.8,раздельный,частично меблирована
2-комнатная квартира,22000000.0,3.0,60.0,5.0,,кирпичный,2016,2.8,раздельный,частично меблирована
2-комнатная квартира,22400000.0,3.0,54.0,5.0,,,1988,,раздельный,частично меблирована
2-комнатная квартира,10400000.0,1.0,24.4,2.0,,,,2.7,раздельный,полностью меблирована
2-комнатная квартира,19500000.0,1.0,51.6,5.0,,,1987,,раздельный,частично меблирована
1-комнатная квартира,15500000.0,4.0,36.5,6.0,,,1979,,совмещенный,полностью меблирована
3-комнатная квартира,18500000.0,1.0,55.0,2.0,,,1957,,совмещенный,
1-комнатная квартира,14500000.0,1.0,33.2,3.0,,,1981,2.7,совмещенный,частично меблирована
2-комнатная квартира,17300000.0,1.0,57.6,3.0,,,1976,2.7,раздельный,частично меблирована
