number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,30000000.0,4.0,108.0,16.0,Премьера,монолитный,2011,2.8,2 с/у и более,
3-комнатная квартира,33000000.0,8.0,75.0,9.0,Шугыла,монолитный,2020,2.7,раздельный,полностью меблирована
1-комнатная квартира,17600000.0,12.0,38.0,16.0,Gulder,монолитный,2020,,,
1-комнатная квартира,20500000.0,7.0,62.8,16.0,Премьера,монолитный,2012,2.8,,
5-комнатная квартира,60750000.0,2.0,103.0,4.0,,,1977,2.8,раздельный,пустая
3-комнатная квартира,29000000.0,5.0,88.0,10.0,,,2018,,раздельный,
2-комнатная квартира,27000000.0,9.0,65.0,10.0,,,2018,,раздельный,
2-комнатная квартира,25000000.0,4.0,68.8,4.0,Шугыла-Сити,монолитный,2021,2.85,совмещенный,частично меблирована
1-комнатная квартира,14800000.0,4.0,44.0,10.0,Alma City,монолитный,2021,,,
2-комнатная квартира,20000000.0,4.0,48.0,10.0,Alma City,монолитный,2021,3.0,совмещенный,полностью меблирована
2-комнатная квартира,20000000.0,3.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,38500000.0,2.0,78.0,9.0,Шугыла,,2019,,,полностью меблирована
1-комнатная квартира,16500000.0,7.0,43.0,10.0,,,2015,2.8,совмещенный,пустая
1-комнатная квартира,16500000.0,7.0,41.0,10.0,Alma City,монолитный,2017,2.8,совмещенный,пустая
1-комнатная квартира,14500000.0,7.0,47.0,10.0,,,2017,,,
1-комнатная квартира,17490000.0,10.0,40.4,10.0,,,2019,2.8,раздельный,полностью меблирована
1-комнатная квартира,16500000.0,7.0,41.0,10.0,,,2017,,совмещенный,пустая
1-комнатная квартира,17200000.0,3.0,42.0,9.0,Шугыла-Сити,монолитный,2021,2.7,совмещенный,частично меблирована
4-комнатная квартира,51000000.0,10.0,106.5,10.0,Хан-Тенгри,монолитный,2011,,2 с/у и более,пустая
3-комнатная квартира,37800000.0,4.0,90.0,9.0,,,2009,,раздельный,
1-комнатная квартира,20400000.0,7.0,64.2,16.0,Премьера,монолитный,2013,2.8,совмещенный,пустая
1-комнатная квартира,11000000.0,2.0,27.7,9.0,Nurly Dala,монолитный,2021,2.7,,
1-комнатная квартира,25000000.0,7.0,43.0,9.0,Хан-Тенгри,монолитный,2010,2.8,,
1-комнатная квартира,13300000.0,7.0,42.0,10.0,Alma City,монолитный,2020,2.8,,
2-комнатная квартира,23500000.0,5.0,61.8,9.0,,,2018,,раздельный,частично меблирована
4-комнатная квартира,88000000.0,6.0,165.0,9.0,Аль-Фараби,монолитный,2017,2.8,2 с/у и более,
1-комнатная квартира,14000000.0,5.0,42.43,10.0,Alma City,монолитный,2021,2.8,,
1-комнатная квартира,15900000.0,8.0,40.15,16.0,Gulder,монолитный,2022,2.7,,
1-комнатная квартира,10000000.0,1.0,27.7,9.0,Nurly Dala,,2021,,,
1-комнатная квартира,13900000.0,7.0,40.7,9.0,Alma City,,2020,,,
1-комнатная квартира,13300000.0,7.0,42.0,10.0,Alma City,монолитный,2020,2.8,совмещенный,пустая
1-комнатная квартира,10500000.0,7.0,28.0,10.0,,,2016,,,
4-комнатная квартира,35000000.0,13.0,133.0,16.0,Премьера,монолитный,2010,2.8,,полностью меблирована
3-комнатная квартира,32000000.0,6.0,78.0,6.0,Alma City,монолитный,2019,2.8,раздельный,полностью меблирована
1-комнатная квартира,17500000.0,5.0,38.5,9.0,,,2019,,,
2-комнатная квартира,16000000.0,9.0,58.0,10.0,Alma City,монолитный,2021,2.8,,
1-комнатная квартира,8100000.0,6.0,28.0,10.0,Alma City,монолитный,2021,,совмещенный,
1-комнатная квартира,23888888.0,15.0,74.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,полностью меблирована
3-комнатная квартира,32500000.0,3.0,80.0,12.0,Gulder,монолитный,2021,2.7,,
2-комнатная квартира,26000000.0,12.0,92.0,16.0,Премьера,,2014,,,
2-комнатная квартира,13000000.0,3.0,47.6,5.0,,кирпичный,1998,,совмещенный,
2-комнатная квартира,26800000.0,9.0,93.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,
3-комнатная квартира,31000000.0,16.0,127.9,16.0,Премьера,монолитный,2012,,2 с/у и более,
3-комнатная квартира,45000000.0,1.0,130.0,16.0,,,2012,2.8,2 с/у и более,
3-комнатная квартира,42000000.0,1.0,130.0,16.0,,,2012,2.8,2 с/у и более,
1-комнатная квартира,11200000.0,3.0,28.0,5.0,,,2017,,совмещенный,пустая
2-комнатная квартира,20000000.0,10.0,72.0,10.0,Alma City,монолитный,2021,2.7,,
1-комнатная квартира,10500000.0,7.0,28.0,10.0,,,2016,,совмещенный,
1-комнатная квартира,14300000.0,1.0,33.0,9.0,Шугыла-Сити,монолитный,2020,,совмещенный,полностью меблирована
1-комнатная квартира,9900000.0,9.0,28.0,10.0,,,2017,,совмещенный,
4-комнатная квартира,85000000.0,4.0,130.0,4.0,,,2000,3.6,2 с/у и более,полностью меблирована
2-комнатная квартира,26000000.0,3.0,54.7,10.0,Alma City,,2019,,совмещенный,полностью меблирована
2-комнатная квартира,17700000.0,4.0,57.73,10.0,Alma City,монолитный,2021,2.7,,
4-комнатная квартира,36000000.0,13.0,133.0,16.0,Премьера,монолитный,2010,2.4,совмещенный,полностью меблирована
2-комнатная квартира,18000000.0,2.0,43.0,3.0,Pioneer,,2020,2.8,совмещенный,
1-комнатная квартира,17999000.0,6.0,44.0,9.0,Шугыла,монолитный,2017,2.7,совмещенный,пустая
1-комнатная квартира,15900000.0,8.0,40.0,9.0,Шугыла,монолитный,2017,2.7,совмещенный,частично меблирована
3-комнатная квартира,30000000.0,4.0,75.0,9.0,Шугыла,монолитный,2017,2.7,раздельный,полностью меблирована
3-комнатная квартира,30500000.0,3.0,75.0,9.0,Шугыла,монолитный,2017,2.7,раздельный,частично меблирована
2-комнатная квартира,19000000.0,7.0,52.0,9.0,Nurly Dala,монолитный,2021,3.0,раздельный,пустая
3-комнатная квартира,50500000.0,2.0,113.1,9.0,Аль-Фараби,монолитный,2010,3.0,2 с/у и более,
1-комнатная квартира,3200000.0,4.0,11.0,4.0,,,2017,,совмещенный,полностью меблирована
3-комнатная квартира,33500000.0,2.0,66.0,10.0,,,2013,2.9,совмещенный,
