number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,15400000.0,2.0,40.0,6.0,,,2008.0,,совмещенный,полностью меблирована
1-комнатная квартира,16200000.0,1.0,43.0,5.0,,,1983.0,,раздельный,полностью меблирована
1-комнатная квартира,16300000.0,2.0,33.0,5.0,,,1989.0,,совмещенный,полностью меблирована
2-комнатная квартира,21400000.0,1.0,59.0,6.0,,,2008.0,,раздельный,частично меблирована
2-комнатная квартира,26500000.0,3.0,66.0,5.0,,,2006.0,2.7,раздельный,частично меблирована
1-комнатная квартира,15900000.0,2.0,40.0,5.0,,,2008.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,13700000.0,1.0,39.0,6.0,Северное кольцо,кирпичный,2015.0,2.85,,частично меблирована
1-комнатная квартира,13700000.0,1.0,40.0,7.0,,,2014.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,24000000.0,3.0,65.0,5.0,,,1984.0,,раздельный,
3-комнатная квартира,35000000.0,1.0,70.0,5.0,,,1989.0,2.9,раздельный,частично меблирована
2-комнатная квартира,18000000.0,3.0,41.9,3.0,,,1977.0,2.5,совмещенный,полностью меблирована
1-комнатная квартира,18500000.0,3.0,42.0,3.0,,,1975.0,2.6,совмещенный,полностью меблирована
1-комнатная квартира,13000000.0,2.0,35.5,6.0,Кокжиек,монолитный,2012.0,2.8,совмещенный,пустая
2-комнатная квартира,30000000.0,2.0,64.0,6.0,Кокжиек,,2008.0,2.75,раздельный,полностью меблирована
1-комнатная квартира,17500000.0,2.0,41.0,5.0,,,,3.0,совмещенный,частично меблирована
1-комнатная квартира,12000000.0,2.0,30.0,4.0,,,,,,
2-комнатная квартира,22200000.0,5.0,66.9,6.0,,,2008.0,2.8,раздельный,частично меблирована
2-комнатная квартира,18000000.0,4.0,42.0,5.0,,,1985.0,,совмещенный,
1-комнатная квартира,15500000.0,4.0,39.0,5.0,,,2007.0,,совмещенный,
2-комнатная квартира,25000000.0,5.0,61.0,5.0,,,2006.0,2.8,раздельный,
1-комнатная квартира,5300000.0,1.0,17.2,4.0,,,1985.0,,совмещенный,полностью меблирована
3-комнатная квартира,18500000.0,2.0,55.0,2.0,,,1982.0,3.0,,частично меблирована
2-комнатная квартира,25000000.0,3.0,56.1,5.0,,,2008.0,2.8,раздельный,
1-комнатная квартира,13500000.0,2.0,35.5,6.0,,,2012.0,,раздельный,частично меблирована
3-комнатная квартира,29500000.0,2.0,74.0,9.0,,,2007.0,2.7,раздельный,
2-комнатная квартира,35000000.0,4.0,61.2,5.0,,,1988.0,,раздельный,частично меблирована
3-комнатная квартира,22500000.0,1.0,60.0,5.0,,,1986.0,,раздельный,
1-комнатная квартира,16000000.0,1.0,42.0,5.0,,,1986.0,,совмещенный,
2-комнатная квартира,23500000.0,8.0,55.4,9.0,Максима на Райымбека,монолитный,2007.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,35000000.0,3.0,52.8,4.0,,,1990.0,2.7,раздельный,полностью меблирована
1-комнатная квартира,14600000.0,3.0,40.0,5.0,,,1987.0,,раздельный,
1-комнатная квартира,13500000.0,2.0,32.0,4.0,,,1982.0,,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,2.0,53.0,5.0,,,1986.0,,раздельный,
2-комнатная квартира,29900000.0,4.0,67.0,9.0,,,2006.0,,раздельный,полностью меблирована
3-комнатная квартира,32500000.0,1.0,78.0,5.0,,,2005.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,8500000.0,2.0,23.0,2.0,,,,2.8,совмещенный,полностью меблирована
2-комнатная квартира,26000000.0,4.0,61.6,5.0,,,2006.0,2.7,раздельный,частично меблирована
4-комнатная квартира,30000000.0,1.0,90.0,5.0,,,,2.6,раздельный,
1-комнатная квартира,8000000.0,2.0,27.2,2.0,,,1945.0,,,полностью меблирована
1-комнатная квартира,15300000.0,2.0,43.0,3.0,,,1983.0,,совмещенный,
4-комнатная квартира,40000000.0,5.0,83.0,5.0,,панельный,1988.0,2.6,раздельный,частично меблирована
2-комнатная квартира,28500000.0,3.0,66.0,9.0,,,2006.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,7700000.0,2.0,23.0,3.0,,,1985.0,3.0,совмещенный,полностью меблирована
1-комнатная квартира,17800000.0,2.0,42.0,5.0,,,1985.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,17000000.0,3.0,38.0,5.0,,,1990.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,35000000.0,1.0,92.0,9.0,Максима на Райымбека,монолитный,2007.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,27000000.0,5.0,64.0,5.0,,,1983.0,2.8,раздельный,частично меблирована
3-комнатная квартира,36000000.0,2.0,63.0,4.0,,,1966.0,,раздельный,частично меблирована
5-комнатная квартира,19000000.0,2.0,156.0,10.0,,,1972.0,,2 с/у и более,
1-комнатная квартира,20000000.0,5.0,48.0,10.0,Максима на Райымбека,монолитный,2007.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,17000000.0,6.0,63.0,6.0,,монолитный,2009.0,2.8,раздельный,частично меблирована
2-комнатная квартира,20500000.0,2.0,44.0,5.0,,,1985.0,2.5,раздельный,
2-комнатная квартира,14800000.0,2.0,47.2,2.0,,,1959.0,,совмещенный,частично меблирована
