3-комнатная квартира,24 000 000 〒, 10/10 этаж, 75 м²,"жил. комплекс Максима на Райымбека, монолитный дом, 2007 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, телефон: отдельный, интернет через TV кабель, частично меблирована, Продаётся уютная тёплая квартира в районе торгового центра Максимы (без риэлторских процентов). Квартира им…"
1-комнатная квартира,14 200 000 〒, 3/5 этаж, 34 м²,"панельный дом, 1986 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, интернет ADSL, частично меблирована, Развитая инфраструктура. Возможно ипотека"
4-комнатная квартира,35 000 000 〒, 2/2 этаж, 252 м²,"кирпичный дом, 1970 г.п., состояние: требует ремонта, жил. площадь 181 кв.м., кухня 15 кв.м., потолки 2.8м., Очень хорошее предложение по заманчивой цене! 139 000тг. за 1м2! Участок 11, 5 соток в частной собственности, все документы в порядке! Полностью второй этаж продается. Отдельный вхо…"
1-комнатная квартира,15 400 000 〒, 2/6 этаж, 40 м²,"монолитный дом, 2008 г.п., состояние: хорошее, санузел совмещенный, полностью меблирована, Пластиковые окна, неугловая, встроенная кухня, счётчики. Отличное расположение внутри микрорайона - самый центр. За домом садик, через дорогу школа. В шаговой доступности магазины и остановка. Тихий райо…"
1-комнатная квартира,16 200 000 〒, 1/5 этаж, 43 м²,"панельный дом, 1983 г.п., состояние: хорошее, санузел раздельный, полностью меблирована, Пластиковые окна, тихий двор, кондиционер, удобно под коммерцию, неугловая, улучшенная, комнаты изолированы, кладовка, счётчики"
1-комнатная квартира,16 300 000 〒, 2/5 этаж, 33 м²,"кирпичный дом, 1989 г.п., состояние: евроремонт, санузел совмещенный, полностью меблирована, Пластиковые окна, неугловая, встроенная кухня, новая сантехника, счётчики, тихий двор. Продам однокомнатную квартиру светлая, уютная со свежем ремонтом, все продумали до мелочей, посудомойка, вытяжка вывед…"
2-комнатная квартира,21 400 000 〒, 1/6 этаж, 59 м²,"монолитный дом, 2008 г.п., состояние: хорошее, санузел раздельный, частично меблирована, Продается квартира! Состояние хорошее, фото соответствуют. Прекрасный микрорайон, все в шаговой доступности! звонИТЕ!"
2-комнатная квартира,26 500 000 〒, 3/5 этаж, 66 м²,"панельный дом, 2006 г.п., состояние: хорошее, жил. площадь 38 кв.м., кухня 9 кв.м., потолки 2.7м., санузел раздельный, телефон: отдельный, интернет ADSL, частично меблирована, Срочно! 3этаж из 5.Рядом школа 2 мин, Цон, поликлиника, детский сад, Нур отан. Подъезд чистый. Соседи хорошие. Квартира…"
1-комнатная квартира,15 900 000 〒, 2/5 этаж, 40 м²,"монолитный дом, 2008 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, частично меблирована, Отличное расположение внутри микрорайона - самый центр. За домом садик, через дорогу школа. В шаговой доступности магазины и остановка. Тихий район. Вто…"
1-комнатная квартира,13 700 000 〒, 1/6 этаж, 39 м²,"жил. комплекс Северное кольцо, кирпичный дом, 2015 г.п., состояние: евроремонт, жил. площадь 25 кв.м., кухня 10 кв.м., потолки 2.85м., телефон: нет, Удобно под коммерцию, цокольный этаж, тёплые полы, евроремонт, желательно за наличный расчёт, частично меблирована, встроенные шкафы, кухня"
1-комнатная квартира,13 700 000 〒, 1/7 этаж, 40 м²,"кирпичный дом, 2014 г.п., состояние: евроремонт, жил. площадь 21 кв.м., кухня 10 кв.м., потолки 2.8м., санузел совмещенный, интернет через TV кабель, частично меблирована, Цокольный этаж, удобно под коммерцию, массажный кабинет можно открыть, улучшенная планировка, супер-маркет, Аптека, больниц…"
3-комнатная квартира,24 000 000 〒, 3/5 этаж, 65 м²,"панельный дом, 1984 г.п., состояние: среднее, санузел раздельный, Срочна продаётся квартира в Айнабулак 3 угловая утепленная. Рядом парк магазины, детский сад и школа"
3-комнатная квартира,35 000 000 〒, 1/5 этаж, 70 м²,"панельный дом, 1989 г.п., состояние: евроремонт, потолки 2.9м., санузел раздельный, интернет ADSL, частично меблирована, Свежий евро ремонт из дорогого материала, встроенный кухонный гарнитур Electrolux, кафель, тёплые полы, имеется большая кладовая, в спальне встроенный шкаф. Отдельно стоящий до…"
2-комнатная квартира,18 000 000 〒, 3/3 этаж, 41.9 м²,"панельный дом, 1977 г.п., состояние: евроремонт, потолки 2.5м., санузел совмещенный, телефон: отдельный, интернет ADSL, полностью меблирована, Продам отличную 2 комнатную квартиру! Документы все в порядке, не залоговая! Чистая, уютная! Подойдёт для молодой семьи! Квартира уютная, очень тёплая, в…"
1-комнатная квартира,18 500 000 〒, 3/3 этаж, 42 м²,"панельный дом, 1975 г.п., состояние: хорошее, жил. площадь 21 кв.м., кухня 9.8 кв.м., потолки 2.6м., санузел совмещенный, интернет оптика, полностью меблирована, Продаётся уютная и чистая квартира в отличном состоянии, улучшенной планировки. Оснащена кондиционером, во всех комнатах натяжные пото…"
1-комнатная квартира,13 000 000 〒, 2/6 этаж, 35.5 м²,"жил. комплекс Кокжиек, монолитный дом, 2012 г.п., состояние: среднее, жил. площадь 16.7 кв.м., кухня 11.6 кв.м., потолки 2.8м., санузел совмещенный, телефон: есть возможность подключения, пустая, Продаётся 1 ком квартира, на втором этаже 6 этажного дома, без ремонта. Не в залоге. По всем вопроса…"
2-комнатная квартира,30 000 000 〒, 2/6 этаж, 64 м²,"жил. комплекс Кокжиек, 2008 г.п., состояние: евроремонт, потолки 2.75м., санузел раздельный, телефон: нет, интернет проводной, полностью меблирована, Пластиковые окна, чистый подъезд, дружелюбные соседи, во дворе имеется 3 игровые площадки и футбольное поле и видеонаблюдение. Удобное расположени…"
1-комнатная квартира,17 500 000 〒, 2/5 этаж, 41 м²,"2006 г.п., состояние: хорошее, жил. площадь 19 кв.м., кухня 14 кв.м., потолки 3м., санузел совмещенный, телефон: отдельный, интернет проводной, частично меблирована, Продам 1 комн. квартиру улучшенной планировки, не угловая, напротив поликлиники. Зимой тепло, уютная светлая квартира. Рядом школы…"
1-комнатная квартира,12 000 000 〒, 2/4 этаж, 30 м²,"2019 г.п., Продается однокомнатная квартира в малоквартирном новом кирпичном доме в развитом, благополучном, спокойном районе. Удобная транспортная развязка. Район Саяхата. Джангильдина- Баянаульская. Тойота центр по Суюнбая, станция метро в пешей доступности. рядом Мерей, Комфорт, Магнум. Нов…"
2-комнатная квартира,22 200 000 〒, 5/6 этаж, 66.9 м²,"монолитный дом, 2008 г.п., состояние: хорошее, потолки 2.8м., санузел раздельный, телефон: отдельный, интернет ADSL, частично меблирована, Квартира находится в тихом районе. Никаких вложения не требуют. Частично мебелирована. Рядом с Школой, и с Детский садом, Поликлиника, Аптека, Супермаркет…"
2-комнатная квартира,18 000 000 〒, 4/5 этаж, 42 м²,"панельный дом, 1985 г.п., состояние: хорошее, жил. площадь 18 кв.м., кухня 6 кв.м., санузел совмещенный, телефон: отдельный, интернет через TV кабель, пустая"
1-комнатная квартира,15 500 000 〒, 4/5 этаж, 39 м²,"монолитный дом, 2007 г.п., состояние: хорошее, жил. площадь 19 кв.м., кухня 9 кв.м., санузел совмещенный, Отличный вариант квартиры на среднем этаже. Не угловая, не залоговая, теплая и светлая. В самом центре микрорайона. показ в удобное для вас время"
2-комнатная квартира,25 000 000 〒, 5/5 этаж, 61 м²,"монолитный дом, 2006 г.п., состояние: хорошее, потолки 2.8м., санузел раздельный, Продается 2-х комнатная квартира в хорошем районе. Чистая, уютная, светлая, широкие комнаты, большая кухня, пластиковые окна, неугловая. Рядом два красивых парка, ЦОН, Акимат, школа, Магнум, все в шаговой доступност…"
