number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,17000000.0,3.0,32.0,4.0,,,1977.0,,совмещенный,частично меблирована
2-комнатная квартира,19799000.0,3.0,43.0,4.0,,,1965.0,,совмещенный,частично меблирована
1-комнатная квартира,17500000.0,1.0,43.0,5.0,,,1993.0,,раздельный,пустая
1-комнатная квартира,18300000.0,2.0,32.0,5.0,,панельный,1979.0,,совмещенный,
1-комнатная квартира,18500000.0,3.0,34.0,4.0,,,1971.0,,совмещенный,частично меблирована
3-комнатная квартира,83000000.0,13.0,128.6,18.0,Жастар Mag,монолитный,2006.0,,2 с/у и более,частично меблирована
1-комнатная квартира,18600000.0,2.0,33.0,5.0,,,1975.0,,совмещенный,
1-комнатная квартира,21700000.0,4.0,35.0,5.0,,,1989.0,,совмещенный,полностью меблирована
3-комнатная квартира,65999999.0,6.0,130.0,18.0,Жастар Mag,монолитный,2010.0,,,полностью меблирована
5-комнатная квартира,73000000.0,3.0,130.0,5.0,,,1991.0,,раздельный,частично меблирована
3-комнатная квартира,42300000.0,4.0,70.2,10.0,,,,3.0,совмещенный,
4-комнатная квартира,77800000.0,3.0,154.0,9.0,Palladium,монолитный,2021.0,3.0,,
2-комнатная квартира,29160000.0,5.0,48.6,13.0,Double Star,монолитный,2021.0,3.0,совмещенный,
1-комнатная квартира,23010000.0,7.0,39.0,12.0,,,2022.0,3.0,совмещенный,
2-комнатная квартира,37100000.0,10.0,53.8,10.0,Nur-Ay Residence,монолитный,2021.0,3.0,совмещенный,
2-комнатная квартира,23919000.0,8.0,46.9,17.0,Assem Plaza,монолитный,2022.0,3.0,совмещенный,
4-комнатная квартира,47895000.0,12.0,103.0,17.0,Assem Plaza,монолитный,2022.0,3.0,раздельный,
2-комнатная квартира,32890000.0,5.0,59.8,12.0,,,2022.0,3.0,совмещенный,
3-комнатная квартира,32965000.0,7.0,69.4,17.0,Assem Plaza,монолитный,2022.0,3.0,совмещенный,
3-комнатная квартира,43384000.0,3.0,74.8,13.0,Double Star,монолитный,2021.0,3.0,2 с/у и более,
4-комнатная квартира,58240000.0,7.0,104.0,13.0,Double Star,монолитный,2021.0,3.0,2 с/у и более,
2-комнатная квартира,20685445.0,2.0,44.0,5.0,,,1977.0,,совмещенный,частично меблирована
3-комнатная квартира,33500000.0,4.0,68.0,9.0,,,1993.0,,раздельный,частично меблирована
3-комнатная квартира,64000000.0,2.0,70.0,3.0,,,1940.0,,,
1-комнатная квартира,21000000.0,,43.0,,,,1987.0,,,
