number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,99265500.0,,112.0,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,147960000.0,,164.4,,Esentai City,,2018.0,3.25,2 с/у и более,
2-комнатная квартира,65999999.0,7.0,90.0,9.0,Максима Резидентс,монолитный,2011.0,4.0,2 с/у и более,полностью меблирована
3-комнатная квартира,71809059.0,,100.5,,Koktobe city,,2023.0,3.0,2 с/у и более,
1-комнатная квартира,40075200.0,,55.66,,Gorny Hills,,2021.0,3.0,раздельный,
3-комнатная квартира,49000000.0,3.0,90.0,3.0,,,2016.0,,совмещенный,пустая
1-комнатная квартира,31000000.0,2.0,46.92,17.0,Chocolate,монолитный,2021.0,3.0,,
2-комнатная квартира,26900000.0,2.0,50.0,10.0,Ush Qońyr,монолитный,2011.0,2.75,,
3-комнатная квартира,31000000.0,1.0,64.0,3.0,,,1986.0,2.8,совмещенный,
4-комнатная квартира,148400000.0,,165.0,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,56000000.0,3.0,123.0,5.0,,,1980.0,2.8,совмещенный,
3-комнатная квартира,36500000.0,5.0,75.0,9.0,,,1980.0,2.8,совмещенный,
3-комнатная квартира,31000000.0,3.0,62.0,5.0,,,1974.0,2.7,совмещенный,
1-комнатная квартира,9200000.0,4.0,33.1,4.0,,,1959.0,,совмещенный,частично меблирована
3-комнатная квартира,25999000.0,5.0,62.9,6.0,,,1977.0,,раздельный,полностью меблирована
4-комнатная квартира,119000000.0,6.0,197.0,9.0,Элит-1 на Зенкова,монолитный,2002.0,,2 с/у и более,полностью меблирована
3-комнатная квартира,51500000.0,4.0,108.0,9.0,,,1990.0,,,
4-комнатная квартира,110000000.0,5.0,165.0,7.0,ile de France,монолитный,2015.0,3.3,,
1-комнатная квартира,54000000.0,3.0,57.0,7.0,ile de France,монолитный,2015.0,3.0,совмещенный,
4-комнатная квартира,137200000.0,,196.0,,Клубный дом DeVille,монолитный,2018.0,3.3,совмещенный,
5-комнатная квартира,154000000.0,,220.0,,Клубный дом DeVille,монолитный,2017.0,3.3,2 с/у и более,
8-комнатная квартира,294000000.0,4.0,420.0,10.0,Клубный дом DeVille,монолитный,2018.0,3.3,совмещенный,
2-комнатная квартира,48000000.0,2.0,63.0,9.0,,,2014.0,2.8,совмещенный,
2-комнатная квартира,62000000.0,6.0,80.0,6.0,,,2014.0,2.8,совмещенный,
4-комнатная квартира,119000000.0,6.0,197.0,9.0,Элит-1 на Зенкова,монолитный,2002.0,3.0,2 с/у и более,полностью меблирована
4-комнатная квартира,320000000.0,6.0,304.3,6.0,Рапсодия,,2007.0,,2 с/у и более,
2-комнатная квартира,29000000.0,3.0,41.2,4.0,,,1959.0,2.7,,полностью меблирована
3-комнатная квартира,85000000.0,5.0,117.0,21.0,Samal Tower,монолитный,2015.0,3.1,2 с/у и более,
2-комнатная квартира,31500000.0,2.0,63.6,3.0,,,1954.0,,раздельный,частично меблирована
3-комнатная квартира,130000000.0,9.0,211.4,9.0,Салем-2,монолитный,2012.0,3.0,2 с/у и более,
4-комнатная квартира,70000000.0,2.0,167.6,10.0,Exclusive Residence,монолитный,2018.0,3.2,2 с/у и более,
4-комнатная квартира,215000000.0,4.0,197.0,9.0,,,,3.2,2 с/у и более,
4-комнатная квартира,122300000.0,4.0,174.7,6.0,,,2007.0,3.0,2 с/у и более,полностью меблирована
3-комнатная квартира,77000000.0,13.0,99.3,17.0,Latifa residence,монолитный,2017.0,2.8,2 с/у и более,полностью меблирована
4-комнатная квартира,115000000.0,7.0,177.0,9.0,Самал Делюкс,монолитный,2010.0,,,
3-комнатная квартира,50000000.0,3.0,80.0,5.0,,,1973.0,2.8,раздельный,
5-комнатная квартира,184470000.0,,197.3,,La Verde,,2022.0,3.0,совмещенный,
1-комнатная квартира,17000000.0,5.0,42.0,9.0,Vostochka.kz,монолитный,2020.0,,совмещенный,
1-комнатная квартира,12900000.0,2.0,35.0,9.0,Алма Тау,монолитный,2018.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,21000000.0,5.0,36.0,5.0,,,1990.0,,раздельный,частично меблирована
3-комнатная квартира,37500000.0,5.0,66.0,5.0,,,1986.0,2.8,раздельный,частично меблирована
3-комнатная квартира,77000000.0,1.0,130.0,7.0,Ренессанс,,2008.0,,,полностью меблирована
5-комнатная квартира,230000000.0,2.0,300.0,5.0,,,1995.0,3.0,2 с/у и более,
4-комнатная квартира,70000000.0,2.0,104.0,5.0,,,1970.0,,раздельный,
4-комнатная квартира,82000000.0,3.0,109.5,5.0,,,1975.0,,раздельный,частично меблирована
3-комнатная квартира,44900000.0,3.0,70.0,3.0,,,1952.0,3.0,совмещенный,
1-комнатная квартира,18800000.0,5.0,35.0,5.0,,,1986.0,,,
1-комнатная квартира,17200000.0,3.0,38.2,12.0,,,1980.0,,раздельный,частично меблирована
1-комнатная квартира,42920000.0,5.0,58.5,7.0,ile de France,монолитный,2015.0,3.3,,
2-комнатная квартира,49623000.0,,70.89,,Gorny Hills,,2021.0,3.0,раздельный,
2-комнатная квартира,31000000.0,1.0,52.5,14.0,,,1993.0,,,
1-комнатная квартира,25450000.0,8.0,54.0,9.0,,,2016.0,3.0,раздельный,полностью меблирована
5-комнатная квартира,184970000.0,,199.4,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,80000000.0,4.0,118.8,9.0,Royal,монолитный,2014.0,3.0,2 с/у и более,частично меблирована
5-комнатная квартира,421000000.0,3.0,178.2,4.0,,,2010.0,,2 с/у и более,пустая
1-комнатная квартира,25000000.0,1.0,39.1,5.0,,,1988.0,2.8,раздельный,частично меблирована
1-комнатная квартира,22000000.0,5.0,38.0,5.0,,,1986.0,2.8,совмещенный,частично меблирована
4-комнатная квартира,190000000.0,5.0,242.0,5.0,,,2007.0,2.99,2 с/у и более,частично меблирована
3-комнатная квартира,33800000.0,5.0,84.0,10.0,Ush Qońyr,монолитный,2021.0,2.8,,пустая
3-комнатная квартира,43780000.0,7.0,68.0,9.0,,,1996.0,2.7,раздельный,частично меблирована
2-комнатная квартира,41500000.0,10.0,53.0,16.0,Jazz-квартал,монолитный,2021.0,3.0,совмещенный,полностью меблирована
2-комнатная квартира,62000000.0,5.0,76.0,8.0,Европолис,монолитный,2012.0,3.0,2 с/у и более,полностью меблирована
3-комнатная квартира,65500000.0,2.0,116.0,6.0,Koktobe city,монолитный,2015.0,3.0,2 с/у и более,частично меблирована
5-комнатная квартира,107000000.0,2.0,160.0,14.0,,,,,2 с/у и более,полностью меблирована
4-комнатная квартира,128000000.0,13.0,140.0,16.0,Тау Самал на Мендыкулова,монолитный,2009.0,3.05,2 с/у и более,полностью меблирована
3-комнатная квартира,45000000.0,3.0,70.0,5.0,,,1986.0,,раздельный,
2-комнатная квартира,25000000.0,5.0,45.0,5.0,,,1992.0,2.8,раздельный,частично меблирована
1-комнатная квартира,6500000.0,1.0,11.0,4.0,,,1967.0,2.6,раздельный,частично меблирована
4-комнатная квартира,65000000.0,,170.0,,Exclusive Residence,монолитный,2015.0,3.2,,
3-комнатная квартира,105000000.0,3.0,122.0,3.0,Esentai City,монолитный,2021.0,3.25,2 с/у и более,
3-комнатная квартира,45000000.0,2.0,75.0,5.0,,,1989.0,,раздельный,частично меблирована
3-комнатная квартира,45000000.0,2.0,70.0,5.0,,,1979.0,,совмещенный,частично меблирована
4-комнатная квартира,170000000.0,3.0,200.0,7.0,Ренессанс,,2007.0,,2 с/у и более,полностью меблирована
6-комнатная квартира,130000000.0,9.0,246.0,9.0,,,2006.0,,2 с/у и более,пустая
1-комнатная квартира,22800000.0,5.0,35.0,5.0,,,1987.0,2.8,совмещенный,полностью меблирована
2-комнатная квартира,68000000.0,2.0,106.0,8.0,Европолис,монолитный,2012.0,3.5,,полностью меблирована
2-комнатная квартира,20000000.0,2.0,44.0,4.0,,,1975.0,,совмещенный,полностью меблирована
3-комнатная квартира,31990000.0,2.0,58.0,4.0,,,1964.0,,совмещенный,полностью меблирована
2-комнатная квартира,23400000.0,2.0,50.0,4.0,,,,2.7,совмещенный,полностью меблирована
3-комнатная квартира,44900000.0,3.0,70.0,3.0,,,1953.0,3.0,совмещенный,
3-комнатная квартира,64900000.0,2.0,115.0,9.0,Koktobe city,монолитный,2017.0,3.0,,
1-комнатная квартира,15700000.0,8.0,40.0,9.0,Vostochka.kz,монолитный,2017.0,2.7,совмещенный,пустая
2-комнатная квартира,33000000.0,3.0,41.3,5.0,,,1963.0,,совмещенный,
6-комнатная квартира,210000000.0,1.0,310.0,7.0,Dostyk Residence,монолитный,2016.0,,,
4-комнатная квартира,75000000.0,1.0,156.0,2.0,,монолитный,2007.0,2.8,2 с/у и более,пустая
3-комнатная квартира,41000000.0,3.0,86.0,5.0,,,1991.0,,,
3-комнатная квартира,65000000.0,4.0,95.0,8.0,,,1974.0,2.8,2 с/у и более,
2-комнатная квартира,44500000.0,6.0,75.0,8.0,,,1971.0,2.85,раздельный,полностью меблирована
7-комнатная квартира,297000000.0,1.0,420.0,3.0,Эдельвейс (КГ),монолитный,2010.0,3.0,2 с/у и более,
1-комнатная квартира,13300000.0,6.0,35.0,9.0,Алма Тау,монолитный,2017.0,2.8,совмещенный,пустая
1-комнатная квартира,14999999.0,3.0,16.0,10.0,Джетысуская 4,панельный,2017.0,,совмещенный,полностью меблирована
3-комнатная квартира,25500000.0,5.0,64.0,5.0,,,1977.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,47000000.0,11.0,80.0,16.0,Терренкур,,2006.0,2.9,2 с/у и более,
3-комнатная квартира,49000000.0,8.0,72.0,8.0,,,1987.0,,раздельный,полностью меблирована
3-комнатная квартира,31000000.0,3.0,65.5,5.0,,,1973.0,,раздельный,
3-комнатная квартира,79000000.0,3.0,117.7,8.0,Европолис,,2010.0,3.4,2 с/у и более,частично меблирована
2-комнатная квартира,35900000.0,7.0,56.9,12.0,Sholpan City,монолитный,2017.0,2.9,,
2-комнатная квартира,55500000.0,1.0,89.0,7.0,,,2008.0,,,
