number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,11600000.0,3.0,31.0,4.0,,,2018.0,,совмещенный,частично меблирована
2-комнатная квартира,26000000.0,1.0,59.0,12.0,Алмалы,монолитный,2017.0,2.7,раздельный,частично меблирована
2-комнатная квартира,24200000.0,1.0,58.0,12.0,Alatau City,монолитный,2018.0,2.7,раздельный,
1-комнатная квартира,18000000.0,3.0,46.0,9.0,Аккент,монолитный,2011.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,26000000.0,7.0,69.0,10.0,,,2011.0,,раздельный,частично меблирована
2-комнатная квартира,23400000.0,9.0,65.0,10.0,Аккент,монолитный,2011.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,22000000.0,9.0,60.3,9.0,,,2011.0,2.8,раздельный,частично меблирована
2-комнатная квартира,22500000.0,4.0,63.0,9.0,Аккент,монолитный,2012.0,,совмещенный,частично меблирована
1-комнатная квартира,12500000.0,5.0,30.0,5.0,,,2018.0,,совмещенный,
2-комнатная квартира,23000000.0,9.0,60.0,9.0,,,2011.0,,раздельный,
3-комнатная квартира,39000000.0,4.0,90.0,9.0,Нуркент,,2018.0,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,24000000.0,10.0,58.7,12.0,Alatau City,монолитный,2021.0,2.8,,
3-комнатная квартира,22500000.0,,75.0,,КГ Карасу,,2015.0,3.0,2 с/у и более,пустая
1-комнатная квартира,20000000.0,7.0,45.0,9.0,,,2011.0,,совмещенный,полностью меблирована
1-комнатная квартира,16500000.0,12.0,35.0,13.0,Алмалы,монолитный,2017.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,19500000.0,7.0,55.1,12.0,Alatau City,монолитный,2021.0,2.75,совмещенный,
2-комнатная квартира,22000000.0,5.0,59.0,5.0,,,2011.0,3.0,раздельный,частично меблирована
1-комнатная квартира,20000000.0,9.0,41.5,9.0,Athletic village,монолитный,2017.0,2.7,совмещенный,
2-комнатная квартира,22800000.0,5.0,54.0,5.0,,,1990.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,16500000.0,12.0,36.0,12.0,,,2017.0,,совмещенный,
2-комнатная квартира,28500000.0,10.0,60.0,12.0,Алмалы,,2017.0,2.7,,полностью меблирована
2-комнатная квартира,23200000.0,9.0,65.0,9.0,,,2015.0,,совмещенный,
1-комнатная квартира,12000000.0,4.0,52.0,5.0,,,2008.0,2.9,совмещенный,частично меблирована
2-комнатная квартира,27000000.0,7.0,54.8,12.0,Alatau City,панельный,2018.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,16700000.0,11.0,37.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
2-комнатная квартира,16000000.0,1.0,47.0,2.0,,,1958.0,3.0,совмещенный,полностью меблирована
1-комнатная квартира,18000000.0,5.0,39.0,9.0,,монолитный,2015.0,,совмещенный,частично меблирована
2-комнатная квартира,23500000.0,10.0,55.0,12.0,Alatau City,монолитный,2016.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,18500000.0,2.0,45.8,5.0,,,2019.0,,совмещенный,частично меблирована
2-комнатная квартира,22500000.0,3.0,69.0,9.0,,,2010.0,,раздельный,
3-комнатная квартира,32000000.0,2.0,82.0,9.0,,,2010.0,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,24000000.0,1.0,61.0,9.0,Аккент,монолитный,2014.0,3.1,совмещенный,
1-комнатная квартира,18000000.0,5.0,39.0,9.0,,,2015.0,,,
3-комнатная квартира,33000000.0,12.0,85.0,16.0,Аккент,монолитный,2011.0,3.0,2 с/у и более,
1-комнатная квартира,19000000.0,3.0,46.7,10.0,,,2017.0,2.6,совмещенный,частично меблирована
3-комнатная квартира,33000000.0,5.0,80.0,6.0,,,,2.7,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,9.0,66.0,9.0,Аккент,монолитный,2010.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,23500000.0,1.0,58.0,12.0,Alatau City,монолитный,2018.0,,раздельный,полностью меблирована
1-комнатная квартира,15000000.0,5.0,44.0,5.0,,,2019.0,2.8,совмещенный,полностью меблирована
2-комнатная квартира,18000000.0,1.0,64.0,9.0,,монолитный,2014.0,2.7,раздельный,частично меблирована
3-комнатная квартира,30000000.0,5.0,90.0,5.0,,,2014.0,2.8,раздельный,частично меблирована
1-комнатная квартира,17500000.0,7.0,48.0,7.0,Северное кольцо,монолитный,2015.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,17000000.0,7.0,36.0,9.0,,,2016.0,,совмещенный,
1-комнатная квартира,9700000.0,1.0,44.6,7.0,Северное кольцо,монолитный,2015.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,31000000.0,9.0,83.0,9.0,,,2010.0,,раздельный,полностью меблирована
1-комнатная квартира,12500000.0,5.0,29.0,5.0,,,2017.0,,совмещенный,частично меблирована
1-комнатная квартира,19000000.0,3.0,46.7,10.0,Акниет,монолитный,2018.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,11600000.0,1.0,44.6,7.0,Северное кольцо,монолитный,2014.0,2.8,совмещенный,
1-комнатная квартира,14500000.0,12.0,34.2,13.0,Алмалы,монолитный,2021.0,2.7,,
3-комнатная квартира,27000000.0,5.0,57.0,5.0,ЖК в мкр. Саялы,,2019.0,,раздельный,
2-комнатная квартира,33000000.0,3.0,74.0,10.0,,,2011.0,,раздельный,
2-комнатная квартира,22500000.0,3.0,69.0,9.0,,,2009.0,,раздельный,
1-комнатная квартира,20500000.0,8.0,51.0,9.0,,,2013.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,30000000.0,3.0,76.4,5.0,,,2014.0,2.8,совмещенный,
3-комнатная квартира,29000000.0,7.0,88.1,9.0,,,2015.0,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,13900000.0,2.0,36.0,2.0,,,1970.0,2.75,совмещенный,частично меблирована
3-комнатная квартира,25000000.0,5.0,76.0,5.0,,,,,раздельный,
1-комнатная квартира,17500000.0,1.0,46.4,9.0,Нуркент,монолитный,2017.0,2.7,,полностью меблирована
2-комнатная квартира,29700000.0,9.0,59.0,12.0,Алмалы,,2020.0,2.7,2 с/у и более,полностью меблирована
1-комнатная квартира,18100000.0,3.0,44.5,13.0,Нуркент,,2018.0,2.8,совмещенный,полностью меблирована
3-комнатная квартира,31500000.0,5.0,84.0,9.0,Аккент,монолитный,2010.0,2.65,2 с/у и более,частично меблирована
2-комнатная квартира,17000000.0,1.0,42.2,2.0,,,1960.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,18000000.0,8.0,52.2,9.0,Аккент,панельный,2012.0,2.7,совмещенный,
3-комнатная квартира,36000000.0,10.0,70.4,12.0,,,2020.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,15200000.0,2.0,50.5,2.0,,,1961.0,2.7,раздельный,частично меблирована
1-комнатная квартира,17200000.0,4.0,42.5,7.0,Северное кольцо,монолитный,2014.0,2.8,совмещенный,
2-комнатная квартира,25000000.0,3.0,70.0,5.0,,,2012.0,2.8,раздельный,
1-комнатная квартира,16000000.0,4.0,39.6,9.0,,,2014.0,2.7,совмещенный,
2-комнатная квартира,27000000.0,8.0,79.0,9.0,,,2011.0,3.0,раздельный,
