index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1186,3-комнатная квартира,1.0,75.0,8.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
1820,2-комнатная квартира,9.0,70.0,13.0,MISSING,MISSING,2016.0,-999.0,совмещенный,MISSING
5212,1-комнатная квартира,4.0,32.0,4.0,MISSING,MISSING,1970.0,-999.0,совмещенный,частично меблирована
1671,2-комнатная квартира,4.0,63.0,9.0,Раушан,монолитный,2013.0,-999.0,MISSING,MISSING
3429,3-комнатная квартира,7.0,62.5,9.0,MISSING,MISSING,2000.0,-999.0,MISSING,частично меблирована
4462,2-комнатная квартира,8.0,88.0,9.0,Центральный,монолитный,2018.0,-999.0,MISSING,MISSING
862,2-комнатная квартира,2.0,60.0,3.0,MISSING,MISSING,1949.0,3.0,раздельный,полностью меблирована
591,3-комнатная квартира,4.0,65.0,5.0,MISSING,MISSING,1987.0,-999.0,совмещенный,пустая
133,1-комнатная квартира,2.0,32.0,5.0,MISSING,панельный,1979.0,-999.0,совмещенный,MISSING
2017,2-комнатная квартира,4.0,62.0,8.0,MISSING,MISSING,1978.0,-999.0,совмещенный,MISSING
3537,2-комнатная квартира,5.0,90.0,10.0,Центральный,монолитный,2018.0,2.9,совмещенный,полностью меблирована
4124,2-комнатная квартира,3.0,41.1,4.0,MISSING,MISSING,1961.0,-999.0,совмещенный,полностью меблирована
4084,2-комнатная квартира,3.0,51.0,5.0,MISSING,MISSING,1988.0,-999.0,раздельный,MISSING
1981,4-комнатная квартира,9.0,146.5,10.0,Lotos Terrace,монолитный,2022.0,2.9,2 с/у и более,MISSING
2354,1-комнатная квартира,1.0,32.0,4.0,MISSING,MISSING,1977.0,-999.0,совмещенный,частично меблирована
3329,1-комнатная квартира,2.0,40.0,9.0,MISSING,MISSING,1985.0,-999.0,совмещенный,частично меблирована
4996,3-комнатная квартира,4.0,94.0,10.0,Центральный,монолитный,2016.0,-999.0,2 с/у и более,MISSING
2607,3-комнатная квартира,7.0,72.0,9.0,MISSING,MISSING,1982.0,-999.0,раздельный,частично меблирована
657,1-комнатная квартира,1.0,30.2,4.0,MISSING,MISSING,1977.0,-999.0,совмещенный,частично меблирована
3194,1-комнатная квартира,7.0,38.0,12.0,Акварель,монолитный,2018.0,2.74,совмещенный,полностью меблирована
5104,2-комнатная квартира,4.0,43.3,9.0,River Time,монолитный,2022.0,2.7,MISSING,MISSING
5361,2-комнатная квартира,4.0,46.0,4.0,MISSING,MISSING,1967.0,2.7,совмещенный,MISSING
5572,1-комнатная квартира,3.0,20.0,5.0,MISSING,MISSING,1976.0,3.0,раздельный,полностью меблирована
3220,3-комнатная квартира,4.0,73.2,5.0,MISSING,MISSING,1989.0,2.7,раздельный,частично меблирована
2661,2-комнатная квартира,11.0,64.5,12.0,12 месяцев,монолитный,2021.0,2.72,MISSING,MISSING
1112,3-комнатная квартира,8.0,115.0,10.0,MISSING,MISSING,2008.0,3.0,2 с/у и более,MISSING
3212,1-комнатная квартира,7.0,42.0,13.0,12 месяцев,монолитный,2021.0,2.8,MISSING,MISSING
5096,2-комнатная квартира,6.0,51.0,9.0,MISSING,MISSING,1991.0,2.8,раздельный,MISSING
5205,3-комнатная квартира,11.0,90.4,15.0,MISSING,MISSING,2015.0,2.7,2 с/у и более,пустая
3049,2-комнатная квартира,12.0,66.0,13.0,12 месяцев,монолитный,2017.0,2.8,совмещенный,пустая
1923,1-комнатная квартира,5.0,40.0,10.0,Мечта на Казыбек би,монолитный,2015.0,2.7,совмещенный,MISSING
5564,3-комнатная квартира,9.0,128.0,9.0,Береке,монолитный,2011.0,3.0,2 с/у и более,частично меблирована
3242,3-комнатная квартира,3.0,78.0,5.0,MISSING,MISSING,1973.0,-999.0,раздельный,частично меблирована
2119,1-комнатная квартира,8.0,46.0,13.0,Atlant,монолитный,2020.0,-999.0,совмещенный,пустая
1800,3-комнатная квартира,8.0,68.8,10.0,MISSING,MISSING,2001.0,-999.0,2 с/у и более,частично меблирована
4909,1-комнатная квартира,2.0,32.0,5.0,MISSING,MISSING,1981.0,2.77,совмещенный,частично меблирована
414,1-комнатная квартира,4.0,32.0,4.0,MISSING,MISSING,1970.0,2.6,совмещенный,MISSING
3990,1-комнатная квартира,5.0,18.0,5.0,MISSING,MISSING,1987.0,2.8,совмещенный,полностью меблирована
5181,2-комнатная квартира,3.0,50.0,3.0,MISSING,MISSING,1961.0,-999.0,раздельный,частично меблирована
4210,2-комнатная квартира,3.0,43.0,5.0,MISSING,MISSING,1981.0,-999.0,совмещенный,частично меблирована
2436,4-комнатная квартира,3.0,110.0,12.0,Exclusive Life,монолитный,2016.0,-999.0,2 с/у и более,полностью меблирована
856,2-комнатная квартира,5.0,47.0,5.0,MISSING,MISSING,1989.0,2.7,MISSING,MISSING
3089,2-комнатная квартира,2.0,42.0,5.0,MISSING,панельный,1974.0,-999.0,совмещенный,частично меблирована
4044,3-комнатная квартира,3.0,60.0,5.0,MISSING,MISSING,1975.0,-999.0,совмещенный,полностью меблирована
3261,3-комнатная квартира,4.0,70.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,частично меблирована
157,5-комнатная квартира,5.0,189.0,6.0,Изумрудный город,кирпичный,2006.0,-999.0,2 с/у и более,частично меблирована
586,4-комнатная квартира,3.0,92.0,9.0,MISSING,MISSING,1981.0,-999.0,2 с/у и более,частично меблирована
5020,3-комнатная квартира,15.0,90.0,20.0,Манхеттан (29 квартал),монолитный,2007.0,2.8,2 с/у и более,частично меблирована
3767,1-комнатная квартира,2.0,30.0,4.0,MISSING,MISSING,1963.0,-999.0,совмещенный,частично меблирована
4576,2-комнатная квартира,10.0,49.0,13.0,MISSING,MISSING,2021.0,-999.0,MISSING,MISSING
810,4-комнатная квартира,5.0,90.0,5.0,MISSING,MISSING,1988.0,2.8,раздельный,полностью меблирована
