index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
2002,2-комнатная квартира,1.0,48.0,5.0,MISSING,MISSING,1980.0,2.6,совмещенный,полностью меблирована,25720058.0,23500000.0
824,2-комнатная квартира,15.0,65.7,17.0,Assem Plaza,MISSING,2020.0,-999.0,совмещенный,MISSING,43934748.0,36600000.0
4668,2-комнатная квартира,8.0,48.2,12.0,Nur-Ay Residence,монолитный,2021.0,3.0,MISSING,MISSING,33113828.0,34200000.0
2597,1-комнатная квартира,5.0,45.0,5.0,MISSING,MISSING,1987.0,2.6,раздельный,полностью меблирована,21802460.0,20300000.0
4043,2-комнатная квартира,2.0,54.0,13.0,12 месяцев,монолитный,2021.0,2.7,совмещенный,пустая,26490060.0,27999999.0
803,1-комнатная квартира,2.0,30.6,4.0,MISSING,MISSING,1963.0,2.6,совмещенный,MISSING,18192524.0,19300000.0
140,3-комнатная квартира,4.0,70.2,10.0,MISSING,MISSING,-999.0,3.0,совмещенный,MISSING,34856300.0,42300000.0
92,3-комнатная квартира,4.0,66.0,9.0,MISSING,MISSING,1981.0,-999.0,раздельный,частично меблирована,32633144.0,36000000.0
1966,4-комнатная квартира,3.0,160.0,20.0,Жастар Mag,монолитный,2008.0,3.0,2 с/у и более,частично меблирована,120692984.0,87000000.0
5573,1-комнатная квартира,5.0,37.0,5.0,MISSING,MISSING,1987.0,2.75,совмещенный,полностью меблирована,20017748.0,19500000.0
1511,2-комнатная квартира,4.0,86.0,20.0,Манхеттан (29 квартал),монолитный,2010.0,2.85,2 с/у и более,полностью меблирована,45614900.0,41500000.0
2645,3-комнатная квартира,1.0,63.0,4.0,MISSING,MISSING,1970.0,2.5,раздельный,пустая,26670448.0,27000000.0
3136,3-комнатная квартира,7.0,66.0,9.0,MISSING,MISSING,1982.0,-999.0,раздельный,частично меблирована,30950994.0,30700000.0
4932,3-комнатная квартира,3.0,90.0,5.0,MISSING,MISSING,1984.0,2.7,2 с/у и более,MISSING,44217200.0,45000000.0
265,2-комнатная квартира,1.0,66.0,18.0,Алтын Булак 2,MISSING,2012.0,3.2,MISSING,MISSING,31158442.0,31000000.0
4913,3-комнатная квартира,5.0,80.0,9.0,MISSING,MISSING,1990.0,3.0,раздельный,частично меблирована,43405804.0,43000000.0
4201,2-комнатная квартира,3.0,42.0,4.0,MISSING,MISSING,1964.0,-999.0,совмещенный,полностью меблирована,22895896.0,18999999.0
4797,1-комнатная квартира,2.0,32.0,5.0,MISSING,MISSING,1973.0,-999.0,совмещенный,частично меблирована,17963894.0,19000000.0
35,4-комнатная квартира,11.0,179.5,12.0,Exclusive Life,монолитный,2019.0,3.0,2 с/у и более,пустая,115013350.0,165000000.0
4028,1-комнатная квартира,6.0,43.0,13.0,12 месяцев,монолитный,2021.0,2.75,MISSING,MISSING,19511214.0,23900000.0
5302,3-комнатная квартира,1.0,73.0,5.0,MISSING,MISSING,1979.0,2.8,раздельный,полностью меблирована,40565148.0,38999999.0
910,3-комнатная квартира,1.0,58.0,4.0,MISSING,MISSING,1962.0,-999.0,раздельный,частично меблирована,27113884.0,31000000.0
3530,2-комнатная квартира,3.0,42.0,4.0,MISSING,MISSING,1961.0,-999.0,совмещенный,полностью меблирована,22749834.0,24500000.0
492,3-комнатная квартира,14.0,155.0,18.0,MISSING,MISSING,1984.0,-999.0,2 с/у и более,частично меблирована,79913110.0,65800000.0
3237,1-комнатная квартира,13.0,42.0,13.0,12 месяцев,монолитный,2017.0,2.8,совмещенный,пустая,18472988.0,17500000.0
5113,3-комнатная квартира,8.0,115.6,18.0,Алтын Булак 2,монолитный,2012.0,2.8,2 с/у и более,полностью меблирована,51259984.0,59900000.0
1631,4-комнатная квартира,8.0,143.0,21.0,MISSING,MISSING,2005.0,3.0,2 с/у и более,MISSING,85465464.0,137000000.0
