index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
2277,3-комнатная квартира,5.0,80.0,5.0,MISSING,MISSING,1979.0,MISSING,раздельный,частично меблирована,46680856.0,38500000.0
2406,5-комнатная квартира,7.0,200.4,12.0,Falconcity,монолитный,2017.0,3.0,MISSING,MISSING,155002720.0,160000000.0
1374,2-комнатная квартира,1.0,52.0,2.0,MISSING,MISSING,1976.0,2.5,совмещенный,частично меблирована,20408556.0,18000000.0
3087,1-комнатная квартира,4.0,39.5,12.0,MISSING,MISSING,2021.0,2.7,совмещенный,пустая,18691908.0,30000000.0
2489,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1988.0,MISSING,раздельный,MISSING,33479704.0,39500000.0
2927,2-комнатная квартира,4.0,126.0,9.0,Академия-2,монолитный,2010.0,2.8,раздельный,частично меблирована,105721450.0,120000000.0
1415,4-комнатная квартира,6.0,123.0,7.0,Сакура,монолитный,2017.0,3.3,MISSING,MISSING,80432350.0,65000000.0
3481,4-комнатная квартира,4.0,87.7,5.0,MISSING,кирпичный,1974.0,3.0,раздельный,MISSING,57503900.0,70000000.0
3279,4-комнатная квартира,10.0,110.0,12.0,Три Богатыря,монолитный,1973.0,2.7,раздельный,пустая,62067896.0,55000000.0
537,3-комнатная квартира,5.0,86.7,8.0,MISSING,панельный,1970.0,2.7,раздельный,частично меблирована,45546550.0,61000000.0
3468,2-комнатная квартира,7.0,56.0,9.0,MISSING,MISSING,1978.0,2.8,раздельный,частично меблирована,30086866.0,28500000.0
3246,3-комнатная квартира,10.0,67.0,12.0,MISSING,MISSING,1989.0,2.8,раздельный,полностью меблирована,42483532.0,45300000.0
2814,1-комнатная квартира,5.0,40.0,9.0,Vostochka.kz,монолитный,2020.0,2.7,совмещенный,полностью меблирована,18022962.0,18300000.0
3461,2-комнатная квартира,8.0,74.0,13.0,Latifa residence,монолитный,2017.0,MISSING,MISSING,MISSING,55159764.0,65000000.0
841,2-комнатная квартира,1.0,43.0,5.0,MISSING,MISSING,1976.0,MISSING,MISSING,пустая,23170912.0,17800000.0
1840,5-комнатная квартира,9.0,171.0,10.0,Ush Qońyr,монолитный,2020.0,3.0,раздельный,MISSING,98983350.0,72000000.0
1009,2-комнатная квартира,5.0,46.0,6.0,MISSING,MISSING,1977.0,2.7,совмещенный,полностью меблирована,25541186.0,25300000.0
1493,4-комнатная квартира,3.0,173.0,10.0,Exclusive Residence,монолитный,2016.0,3.0,2 с/у и более,полностью меблирована,111586660.0,97999999.0
3079,4-комнатная квартира,4.0,121.0,7.0,MISSING,MISSING,1974.0,MISSING,совмещенный,частично меблирована,71113100.0,62850000.0
