index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2962,1-комнатная квартира,8.0,40.0,9.0,Vostochka.kz,монолитный,2017.0,2.7,MISSING,MISSING
1780,2-комнатная квартира,5.0,53.0,9.0,MISSING,MISSING,1975.0,MISSING,раздельный,MISSING
1259,4-комнатная квартира,5.0,170.0,9.0,White Fort,монолитный,2007.0,MISSING,2 с/у и более,MISSING
3551,4-комнатная квартира,9.0,181.0,21.0,Samal Tower,монолитный,2016.0,MISSING,2 с/у и более,пустая
3682,6-комнатная квартира,8.0,381.6,8.0,Парк Горького,монолитный,2010.0,MISSING,2 с/у и более,MISSING
2717,3-комнатная квартира,7.0,85.0,7.0,Европолис,монолитный,2009.0,2.85,совмещенный,полностью меблирована
2662,4-комнатная квартира,3.0,100.0,6.0,MISSING,MISSING,1986.0,MISSING,2 с/у и более,MISSING
1092,5-комнатная квартира,7.0,208.0,7.0,Dostyk Residence,монолитный,2018.0,3.15,2 с/у и более,частично меблирована
1018,2-комнатная квартира,5.0,77.9,7.0,ile de France,монолитный,2017.0,3.3,MISSING,MISSING
3754,3-комнатная квартира,2.0,107.0,8.0,Европолис,монолитный,2017.0,3.0,2 с/у и более,полностью меблирована
1891,1-комнатная квартира,3.0,40.0,9.0,Vostochka.kz,монолитный,2020.0,2.7,совмещенный,MISSING
1262,4-комнатная квартира,11.0,174.0,12.0,Falconcity,монолитный,2017.0,3.0,2 с/у и более,MISSING
1665,3-комнатная квартира,3.0,310.0,3.0,Alatau Hills,монолитный,2018.0,3.0,2 с/у и более,полностью меблирована
2294,3-комнатная квартира,5.0,70.0,5.0,MISSING,MISSING,1985.0,MISSING,совмещенный,частично меблирована
3308,3-комнатная квартира,3.0,70.0,5.0,MISSING,MISSING,1973.0,MISSING,раздельный,частично меблирована
1435,3-комнатная квартира,5.0,86.0,5.0,MISSING,MISSING,1979.0,2.6,раздельный,полностью меблирована
1560,4-комнатная квартира,2.0,200.0,5.0,MISSING,MISSING,1985.0,MISSING,MISSING,MISSING
3488,6-комнатная квартира,-999.0,420.0,-999.0,Эдельвейс (КГ),монолитный,2008.0,3.0,2 с/у и более,полностью меблирована
3282,3-комнатная квартира,5.0,97.0,7.0,Tau-house,монолитный,2016.0,MISSING,2 с/у и более,MISSING
3962,2-комнатная квартира,4.0,50.0,4.0,MISSING,MISSING,1972.0,MISSING,совмещенный,частично меблирована
214,3-комнатная квартира,2.0,70.0,5.0,MISSING,MISSING,1979.0,MISSING,совмещенный,частично меблирована
240,2-комнатная квартира,1.0,89.0,7.0,MISSING,MISSING,2008.0,MISSING,MISSING,MISSING
1598,2-комнатная квартира,3.0,73.0,7.0,ile de France,монолитный,2017.0,3.3,MISSING,MISSING
3119,2-комнатная квартира,5.0,56.0,7.0,ile de France,MISSING,2018.0,3.3,раздельный,полностью меблирована
3462,3-комнатная квартира,3.0,100.0,7.0,Dostyk Residence,монолитный,2018.0,3.15,2 с/у и более,полностью меблирована
1998,4-комнатная квартира,4.0,160.0,8.0,MISSING,кирпичный,2005.0,MISSING,2 с/у и более,MISSING
358,4-комнатная квартира,4.0,100.0,5.0,MISSING,MISSING,1973.0,MISSING,2 с/у и более,частично меблирована
3571,1-комнатная квартира,3.0,33.0,4.0,MISSING,MISSING,1972.0,MISSING,MISSING,MISSING
2143,3-комнатная квартира,7.0,68.0,8.0,MISSING,MISSING,1998.0,2.7,совмещенный,частично меблирована
2531,4-комнатная квартира,4.0,128.0,17.0,Latifa residence,монолитный,2017.0,2.6,2 с/у и более,частично меблирована
3107,5-комнатная квартира,-999.0,305.0,-999.0,Эдельвейс,MISSING,2010.0,3.0,2 с/у и более,пустая
1286,2-комнатная квартира,3.0,47.0,5.0,MISSING,MISSING,1981.0,MISSING,MISSING,MISSING
1745,4-комнатная квартира,6.0,115.0,9.0,MISSING,MISSING,2015.0,MISSING,2 с/у и более,полностью меблирована
3872,3-комнатная квартира,2.0,119.4,4.0,Ideal Residence,монолитный,2017.0,3.0,2 с/у и более,частично меблирована
1862,2-комнатная квартира,3.0,47.0,4.0,MISSING,MISSING,1969.0,MISSING,совмещенный,MISSING
3091,2-комнатная квартира,2.0,52.0,5.0,MISSING,MISSING,1988.0,2.8,раздельный,полностью меблирована
1857,2-комнатная квартира,4.0,41.0,5.0,MISSING,MISSING,1979.0,MISSING,MISSING,MISSING
830,3-комнатная квартира,4.0,60.0,4.0,MISSING,MISSING,1970.0,MISSING,совмещенный,частично меблирована
1474,1-комнатная квартира,2.0,35.0,5.0,MISSING,MISSING,1975.0,MISSING,совмещенный,полностью меблирована
3502,3-комнатная квартира,5.0,62.0,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,полностью меблирована
3770,3-комнатная квартира,4.0,121.0,7.0,ile de France,монолитный,2015.0,3.3,MISSING,MISSING
3688,5-комнатная квартира,10.0,200.0,16.0,Тюркуаз Тауэрс,монолитный,2010.0,MISSING,2 с/у и более,полностью меблирована
1725,2-комнатная квартира,1.0,52.0,4.0,MISSING,MISSING,1963.0,MISSING,MISSING,MISSING
1798,1-комнатная квартира,2.0,40.0,12.0,MISSING,MISSING,2017.0,MISSING,раздельный,MISSING
2392,7-комнатная квартира,3.0,420.0,3.0,Эдельвейс (КГ),кирпичный,2010.0,MISSING,2 с/у и более,MISSING
1546,1-комнатная квартира,9.0,36.0,9.0,MISSING,MISSING,-999.0,2.8,совмещенный,MISSING
1827,3-комнатная квартира,8.0,138.0,14.0,Сункар,монолитный,2013.0,MISSING,MISSING,MISSING
374,3-комнатная квартира,7.0,105.0,7.0,ile de France,монолитный,2016.0,3.3,MISSING,MISSING
587,1-комнатная квартира,4.0,34.0,4.0,MISSING,MISSING,1968.0,3.0,совмещенный,полностью меблирована
