index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
941,2-комнатная квартира,2.0,52.0,3.0,MISSING,MISSING,1981.0,2.8,раздельный,частично меблирована
439,2-комнатная квартира,7.0,67.0,9.0,MISSING,MISSING,2012.0,-999.0,раздельный,MISSING
460,1-комнатная квартира,5.0,39.6,5.0,MISSING,MISSING,1996.0,3.0,совмещенный,полностью меблирована
1911,1-комнатная квартира,7.0,36.7,12.0,Алмалы,монолитный,2020.0,2.65,совмещенный,MISSING
193,2-комнатная квартира,3.0,68.0,16.0,Аккент,монолитный,2010.0,-999.0,MISSING,MISSING
866,2-комнатная квартира,3.0,48.2,6.0,MISSING,монолитный,2021.0,2.7,MISSING,MISSING
1082,3-комнатная квартира,1.0,67.9,12.0,Alatau City,монолитный,2018.0,2.8,раздельный,частично меблирована
1890,3-комнатная квартира,10.0,70.0,12.0,Alatau City,монолитный,2018.0,2.7,раздельный,полностью меблирована
1599,1-комнатная квартира,1.0,30.0,2.0,MISSING,MISSING,1962.0,2.8,совмещенный,частично меблирована
1550,3-комнатная квартира,1.0,90.0,9.0,Аккент,монолитный,2011.0,3.2,2 с/у и более,MISSING
1685,2-комнатная квартира,7.0,64.0,9.0,MISSING,MISSING,2010.0,-999.0,совмещенный,MISSING
2002,1-комнатная квартира,1.0,42.0,8.0,Athletic village,MISSING,2016.0,-999.0,MISSING,MISSING
1560,2-комнатная квартира,2.0,65.0,5.0,MISSING,MISSING,-999.0,2.85,раздельный,частично меблирована
1862,2-комнатная квартира,5.0,49.0,6.0,MISSING,MISSING,1990.0,-999.0,MISSING,MISSING
860,2-комнатная квартира,9.0,65.3,9.0,Аккент,монолитный,2011.0,-999.0,MISSING,частично меблирована
274,1-комнатная квартира,6.0,45.0,12.0,Alatau City,монолитный,2017.0,2.7,совмещенный,полностью меблирована
469,1-комнатная квартира,10.0,37.6,12.0,Алмалы,MISSING,2017.0,2.8,MISSING,частично меблирована
1601,3-комнатная квартира,12.0,84.0,16.0,Аккент,монолитный,2015.0,2.8,2 с/у и более,частично меблирована
2061,3-комнатная квартира,2.0,89.0,4.0,MISSING,MISSING,2014.0,-999.0,раздельный,полностью меблирована
496,1-комнатная квартира,6.0,40.3,6.0,MISSING,MISSING,2022.0,2.8,совмещенный,MISSING
1483,2-комнатная квартира,14.0,53.1,14.0,Алмалы,MISSING,2020.0,-999.0,MISSING,MISSING
821,3-комнатная квартира,9.0,70.0,12.0,Alatau City,монолитный,2018.0,-999.0,MISSING,MISSING
1776,1-комнатная квартира,8.0,51.4,9.0,MISSING,монолитный,2009.0,-999.0,совмещенный,частично меблирована
343,3-комнатная квартира,11.0,69.4,13.0,Нуркент,монолитный,2018.0,2.7,2 с/у и более,частично меблирована
1884,3-комнатная квартира,5.0,96.0,9.0,MISSING,MISSING,2011.0,2.8,MISSING,полностью меблирована
315,2-комнатная квартира,5.0,56.0,12.0,Алмалы,монолитный,2017.0,-999.0,совмещенный,полностью меблирована
1941,1-комнатная квартира,1.0,36.0,5.0,MISSING,MISSING,2017.0,2.7,совмещенный,MISSING
189,3-комнатная квартира,3.0,90.0,9.0,Аккент,монолитный,2012.0,-999.0,совмещенный,MISSING
252,2-комнатная квартира,2.0,36.0,2.0,MISSING,MISSING,1982.0,2.8,MISSING,MISSING
1407,1-комнатная квартира,5.0,40.0,5.0,MISSING,MISSING,2015.0,-999.0,MISSING,MISSING
1400,1-комнатная квартира,2.0,35.0,12.0,Алмалы,монолитный,2016.0,2.7,совмещенный,частично меблирована
1455,2-комнатная квартира,7.0,62.2,16.0,MISSING,MISSING,2010.0,2.7,раздельный,полностью меблирована
1787,2-комнатная квартира,2.0,66.7,5.0,MISSING,MISSING,2016.0,3.0,MISSING,MISSING
1380,2-комнатная квартира,3.0,72.0,4.0,MISSING,MISSING,2014.0,-999.0,MISSING,MISSING
1969,2-комнатная квартира,9.0,67.0,9.0,Нуркент,монолитный,2017.0,3.0,раздельный,полностью меблирована
377,1-комнатная квартира,4.0,33.0,4.0,MISSING,MISSING,1962.0,-999.0,MISSING,MISSING
561,2-комнатная квартира,1.0,58.0,12.0,Alatau City,монолитный,2017.0,2.7,раздельный,полностью меблирована
1315,2-комнатная квартира,3.0,90.0,9.0,MISSING,MISSING,2013.0,3.0,раздельный,полностью меблирована
1611,3-комнатная квартира,7.0,70.0,12.0,Alatau City,монолитный,2017.0,2.7,2 с/у и более,пустая
1662,2-комнатная квартира,6.0,61.6,9.0,MISSING,монолитный,2018.0,3.3,раздельный,частично меблирована
719,1-комнатная квартира,3.0,45.1,6.0,MISSING,MISSING,2022.0,2.7,MISSING,MISSING
543,2-комнатная квартира,8.0,70.0,9.0,MISSING,MISSING,2010.0,-999.0,совмещенный,полностью меблирована
