index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
540,2-комнатная квартира,2.0,61.5,6.0,MISSING,монолитный,2011.0,-999.0,раздельный,частично меблирована
850,3-комнатная квартира,3.0,68.0,5.0,MISSING,MISSING,1982.0,-999.0,совмещенный,частично меблирована
1613,1-комнатная квартира,3.0,40.0,3.0,MISSING,MISSING,-999.0,-999.0,MISSING,MISSING
1103,2-комнатная квартира,3.0,40.7,3.0,MISSING,MISSING,1978.0,2.75,совмещенный,полностью меблирована
932,2-комнатная квартира,4.0,42.3,5.0,MISSING,MISSING,1983.0,-999.0,совмещенный,полностью меблирована
1430,1-комнатная квартира,5.0,41.3,5.0,MISSING,MISSING,2007.0,2.8,совмещенный,пустая
1674,1-комнатная квартира,4.0,39.0,6.0,MISSING,MISSING,2008.0,-999.0,совмещенный,пустая
370,2-комнатная квартира,4.0,62.0,6.0,MISSING,MISSING,2008.0,-999.0,раздельный,частично меблирована
114,2-комнатная квартира,5.0,59.0,5.0,MISSING,MISSING,1988.0,2.8,раздельный,частично меблирована
1535,3-комнатная квартира,5.0,61.3,5.0,MISSING,MISSING,1986.0,2.5,раздельный,MISSING
1602,3-комнатная квартира,8.0,74.1,9.0,Максима на Райымбека,монолитный,2008.0,2.7,раздельный,пустая
796,3-комнатная квартира,6.0,74.5,8.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,MISSING
1265,2-комнатная квартира,2.0,47.2,2.0,MISSING,MISSING,-999.0,-999.0,совмещенный,частично меблирована
511,2-комнатная квартира,4.0,70.0,9.0,MISSING,MISSING,2004.0,2.8,раздельный,полностью меблирована
731,1-комнатная квартира,3.0,31.0,5.0,MISSING,MISSING,1985.0,2.5,совмещенный,MISSING
1576,2-комнатная квартира,2.0,47.0,3.0,MISSING,MISSING,1993.0,-999.0,совмещенный,полностью меблирована
1612,1-комнатная квартира,4.0,34.0,5.0,MISSING,MISSING,1990.0,2.7,совмещенный,полностью меблирована
1326,2-комнатная квартира,3.0,53.0,5.0,MISSING,MISSING,1997.0,-999.0,раздельный,частично меблирована
1299,1-комнатная квартира,5.0,40.0,5.0,MISSING,MISSING,-999.0,3.0,MISSING,MISSING
359,1-комнатная квартира,5.0,33.0,5.0,MISSING,MISSING,1984.0,2.86,совмещенный,полностью меблирована
214,3-комнатная квартира,1.0,64.1,5.0,MISSING,MISSING,1983.0,-999.0,совмещенный,полностью меблирована
1061,2-комнатная квартира,2.0,62.7,6.0,MISSING,MISSING,2009.0,2.75,раздельный,частично меблирована
1686,2-комнатная квартира,3.0,80.0,7.0,MISSING,MISSING,-999.0,2.85,совмещенный,MISSING
92,1-комнатная квартира,5.0,33.8,6.0,MISSING,MISSING,-999.0,2.7,совмещенный,частично меблирована
782,2-комнатная квартира,2.0,47.0,3.0,MISSING,MISSING,1993.0,2.8,совмещенный,полностью меблирована
375,4-комнатная квартира,2.0,84.0,5.0,MISSING,MISSING,1989.0,2.6,раздельный,частично меблирована
420,3-комнатная квартира,5.0,64.0,5.0,MISSING,MISSING,-999.0,-999.0,2 с/у и более,частично меблирована
395,1-комнатная квартира,1.0,39.2,5.0,MISSING,монолитный,2005.0,2.7,совмещенный,MISSING
