index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1313,3-комнатная квартира,1.0,57.0,3.0,MISSING,MISSING,1984,-999.0,раздельный,частично меблирована
420,1-комнатная квартира,2.0,24.0,2.0,MISSING,MISSING,1969,2.8,MISSING,частично меблирована
281,2-комнатная квартира,3.0,62.0,5.0,MISSING,монолитный,2016,-999.0,MISSING,MISSING
1298,1-комнатная квартира,1.0,20.5,3.0,MISSING,MISSING,1979,-999.0,совмещенный,пустая
608,3-комнатная квартира,3.0,74.0,6.0,MISSING,MISSING,1990,2.8,раздельный,частично меблирована
30,1-комнатная квартира,4.0,39.0,5.0,MISSING,MISSING,1994,3.0,совмещенный,частично меблирована
1028,1-комнатная квартира,2.0,32.0,3.0,MISSING,MISSING,1982,2.7,совмещенный,частично меблирована
534,1-комнатная квартира,2.0,34.1,5.0,MISSING,MISSING,1987,2.6,совмещенный,полностью меблирована
740,2-комнатная квартира,4.0,57.7,5.0,MISSING,MISSING,1979,2.8,раздельный,частично меблирована
514,2-комнатная квартира,1.0,44.0,2.0,MISSING,MISSING,1965,3.2,совмещенный,частично меблирована
49,2-комнатная квартира,4.0,69.1,5.0,MISSING,MISSING,2015,2.65,раздельный,частично меблирована
110,3-комнатная квартира,2.0,66.0,4.0,MISSING,MISSING,1974,-999.0,раздельный,MISSING
1066,3-комнатная квартира,9.0,96.0,9.0,MISSING,монолитный,2009,-999.0,раздельный,пустая
1410,2-комнатная квартира,1.0,42.0,3.0,MISSING,MISSING,1968,2.8,совмещенный,MISSING
1328,2-комнатная квартира,1.0,40.0,2.0,MISSING,MISSING,1964,2.8,совмещенный,частично меблирована
371,1-комнатная квартира,4.0,39.0,5.0,MISSING,MISSING,2017,-999.0,MISSING,полностью меблирована
962,2-комнатная квартира,3.0,52.8,5.0,MISSING,MISSING,2013,-999.0,раздельный,частично меблирована
466,2-комнатная квартира,4.0,47.0,4.0,MISSING,MISSING,1974,2.8,раздельный,полностью меблирована
461,2-комнатная квартира,3.0,63.4,5.0,MISSING,MISSING,2018,2.7,раздельный,полностью меблирована
69,3-комнатная квартира,1.0,53.0,2.0,MISSING,MISSING,MISSING,2.5,раздельный,частично меблирована
643,1-комнатная квартира,1.0,40.0,5.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
33,1-комнатная квартира,4.0,40.0,5.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
1395,2-комнатная квартира,3.0,42.0,4.0,MISSING,MISSING,1968,2.6,совмещенный,MISSING
491,2-комнатная квартира,4.0,50.7,4.0,MISSING,MISSING,1980,2.8,2 с/у и более,полностью меблирована
196,2-комнатная квартира,3.0,45.6,3.0,MISSING,MISSING,1984,2.8,совмещенный,частично меблирована
1381,4-комнатная квартира,3.0,101.0,5.0,MISSING,MISSING,1993,-999.0,раздельный,частично меблирована
728,2-комнатная квартира,3.0,51.5,5.0,MISSING,MISSING,1990,2.8,раздельный,пустая
634,3-комнатная квартира,8.0,80.0,9.0,MISSING,MISSING,MISSING,2.7,раздельный,частично меблирована
410,2-комнатная квартира,3.0,52.0,5.0,MISSING,MISSING,1986,2.7,раздельный,полностью меблирована
805,2-комнатная квартира,1.0,35.5,2.0,MISSING,MISSING,1962,-999.0,совмещенный,MISSING
152,3-комнатная квартира,1.0,58.0,3.0,MISSING,MISSING,1983,2.5,раздельный,частично меблирована
766,1-комнатная квартира,4.0,34.0,5.0,MISSING,MISSING,1991,2.7,совмещенный,частично меблирована
528,2-комнатная квартира,1.0,36.4,2.0,MISSING,MISSING,2016,3.0,совмещенный,частично меблирована
444,3-комнатная квартира,2.0,61.0,3.0,MISSING,MISSING,1977,-999.0,раздельный,MISSING
101,3-комнатная квартира,1.0,82.0,4.0,MISSING,MISSING,1980,2.7,совмещенный,частично меблирована
818,2-комнатная квартира,5.0,45.0,5.0,MISSING,MISSING,1984,-999.0,раздельный,MISSING
977,1-комнатная квартира,2.0,41.0,5.0,MISSING,MISSING,2006,2.7,совмещенный,пустая
1057,1-комнатная квартира,3.0,40.95,9.0,PARASAT,монолитный,2021,2.73,совмещенный,MISSING
518,1-комнатная квартира,3.0,40.0,9.0,MISSING,MISSING,2016,-999.0,совмещенный,полностью меблирована
1368,2-комнатная квартира,2.0,60.0,6.0,MISSING,MISSING,2007,2.7,раздельный,полностью меблирована
233,3-комнатная квартира,5.0,70.0,5.0,MISSING,кирпичный,1995,-999.0,раздельный,частично меблирована
883,2-комнатная квартира,2.0,41.7,2.0,MISSING,MISSING,MISSING,-999.0,MISSING,MISSING
9,2-комнатная квартира,3.0,57.1,5.0,MISSING,MISSING,1988,2.7,раздельный,частично меблирована
175,2-комнатная квартира,9.0,45.9,9.0,MISSING,MISSING,1989,2.7,раздельный,частично меблирована
457,2-комнатная квартира,2.0,41.0,2.0,MISSING,MISSING,MISSING,2.4,MISSING,MISSING
1314,2-комнатная квартира,3.0,54.0,5.0,MISSING,MISSING,1988,3.0,раздельный,частично меблирована
60,1-комнатная квартира,-999.0,30.0,-999.0,MISSING,MISSING,2018,3.0,совмещенный,пустая
1001,2-комнатная квартира,2.0,60.0,2.0,MISSING,MISSING,MISSING,-999.0,совмещенный,частично меблирована
624,2-комнатная квартира,7.0,51.3,10.0,MISSING,MISSING,2022,2.8,совмещенный,пустая
925,2-комнатная квартира,3.0,58.0,5.0,MISSING,MISSING,1989,2.7,раздельный,MISSING
97,1-комнатная квартира,1.0,33.2,3.0,MISSING,MISSING,1981,2.7,совмещенный,частично меблирована
359,1-комнатная квартира,2.0,34.0,5.0,По Спасской,кирпичный,1989,2.8,совмещенный,частично меблирована
342,2-комнатная квартира,2.0,43.1,3.0,MISSING,MISSING,MISSING,2.65,совмещенный,частично меблирована
393,2-комнатная квартира,2.0,40.0,3.0,MISSING,MISSING,1960,3.0,совмещенный,полностью меблирована
1080,2-комнатная квартира,4.0,60.4,6.0,MISSING,MISSING,2008,2.7,раздельный,MISSING
1222,3-комнатная квартира,2.0,63.8,2.0,MISSING,MISSING,1955,3.0,раздельный,частично меблирована
261,2-комнатная квартира,10.0,65.0,10.0,Теремки,монолитный,2021,2.7,2 с/у и более,MISSING
948,2-комнатная квартира,1.0,55.0,5.0,MISSING,MISSING,2013,-999.0,раздельный,полностью меблирована
1189,2-комнатная квартира,2.0,48.0,4.0,MISSING,MISSING,1968,2.5,раздельный,частично меблирована
495,3-комнатная квартира,5.0,95.0,12.0,Радужный берег,монолитный,2016,-999.0,2 с/у и более,частично меблирована
1305,1-комнатная квартира,1.0,40.0,5.0,MISSING,MISSING,2017,-999.0,совмещенный,полностью меблирована
662,3-комнатная квартира,6.0,76.0,9.0,MISSING,MISSING,2015,2.7,раздельный,частично меблирована
945,2-комнатная квартира,4.0,44.0,5.0,MISSING,MISSING,1984,2.7,раздельный,полностью меблирована
1137,1-комнатная квартира,2.0,45.0,2.0,MISSING,MISSING,1984,2.7,раздельный,частично меблирована
891,1-комнатная квартира,5.0,34.0,5.0,MISSING,MISSING,1993,2.8,совмещенный,полностью меблирована
696,1-комнатная квартира,1.0,43.0,5.0,MISSING,MISSING,MISSING,-999.0,совмещенный,MISSING
509,2-комнатная квартира,3.0,46.0,3.0,MISSING,MISSING,1967,2.5,совмещенный,частично меблирована
557,1-комнатная квартира,7.0,44.05,10.0,Теремки,монолитный,2021,2.7,раздельный,пустая
835,1-комнатная квартира,2.0,43.0,2.0,MISSING,MISSING,1961,-999.0,раздельный,MISSING
915,3-комнатная квартира,1.0,53.0,3.0,MISSING,MISSING,1961,-999.0,MISSING,MISSING
432,1-комнатная квартира,3.0,35.0,5.0,MISSING,MISSING,2015,-999.0,совмещенный,частично меблирована
1288,1-комнатная квартира,7.0,28.0,10.0,Теремки,монолитный,2021,-999.0,MISSING,MISSING
964,3-комнатная квартира,1.0,65.5,2.0,MISSING,MISSING,1960,3.2,раздельный,частично меблирована
6,2-комнатная квартира,-999.0,64.0,-999.0,Жана Куат (КГ),MISSING,"2 этажа, 2021",2.7,совмещенный,MISSING
1018,2-комнатная квартира,4.0,60.0,5.0,MISSING,MISSING,2008,-999.0,раздельный,MISSING
1035,3-комнатная квартира,1.0,79.0,2.0,MISSING,MISSING,1992,2.6,раздельный,MISSING
286,3-комнатная квартира,4.0,68.0,4.0,MISSING,MISSING,1979,2.7,совмещенный,частично меблирована
76,1-комнатная квартира,9.0,44.0,10.0,Теремки,монолитный,2021,2.7,MISSING,MISSING
171,1-комнатная квартира,4.0,33.1,5.0,MISSING,MISSING,1980,-999.0,совмещенный,MISSING
1042,1-комнатная квартира,1.0,38.0,9.0,MISSING,MISSING,2015,2.7,совмещенный,полностью меблирована
936,1-комнатная квартира,1.0,33.0,3.0,MISSING,MISSING,1974,3.0,совмещенный,MISSING
347,2-комнатная квартира,1.0,45.0,2.0,MISSING,MISSING,1956,3.0,совмещенный,полностью меблирована
471,1-комнатная квартира,2.0,48.8,3.0,Nomad City,кирпичный,2020,2.9,совмещенный,MISSING
565,2-комнатная квартира,3.0,65.0,5.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
28,2-комнатная квартира,1.0,62.0,3.0,MISSING,MISSING,1990,-999.0,раздельный,полностью меблирована
548,1-комнатная квартира,4.0,35.0,5.0,MISSING,MISSING,1986,2.7,совмещенный,частично меблирована
911,3-комнатная квартира,-999.0,55.0,-999.0,MISSING,MISSING,1961,-999.0,раздельный,MISSING
526,2-комнатная квартира,2.0,64.0,5.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
1097,2-комнатная квартира,2.0,35.0,2.0,MISSING,MISSING,1968,2.9,совмещенный,MISSING
316,1-комнатная квартира,5.0,31.0,5.0,MISSING,MISSING,1980,2.7,совмещенный,пустая
561,2-комнатная квартира,2.0,47.5,2.0,MISSING,MISSING,MISSING,-999.0,совмещенный,частично меблирована
1041,2-комнатная квартира,1.0,50.0,3.0,MISSING,кирпичный,1984,2.7,раздельный,частично меблирована
552,2-комнатная квартира,2.0,50.3,5.0,MISSING,MISSING,1984,2.7,раздельный,частично меблирована
382,2-комнатная квартира,3.0,66.0,5.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
434,2-комнатная квартира,1.0,45.7,2.0,MISSING,MISSING,MISSING,-999.0,совмещенный,MISSING
167,3-комнатная квартира,1.0,67.2,5.0,MISSING,MISSING,1986,2.75,раздельный,частично меблирована
431,1-комнатная квартира,5.0,41.0,6.0,MISSING,MISSING,2009,2.7,совмещенный,полностью меблирована
570,2-комнатная квартира,2.0,63.0,5.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
277,2-комнатная квартира,2.0,41.5,3.0,MISSING,MISSING,1966,2.7,совмещенный,частично меблирована
1052,3-комнатная квартира,1.0,64.1,5.0,MISSING,MISSING,1992,2.8,раздельный,частично меблирована
486,2-комнатная квартира,6.0,65.5,9.0,MISSING,MISSING,2016,2.75,раздельный,MISSING
779,1-комнатная квартира,5.0,44.0,10.0,MISSING,MISSING,2017,2.8,совмещенный,пустая
690,2-комнатная квартира,3.0,45.0,4.0,MISSING,MISSING,1967,2.7,раздельный,полностью меблирована
