index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
8786,2-комнатная квартира,5.0,70.0,17.0,Өркендеу,монолитный,2015.0,3,совмещенный,MISSING
7395,3-комнатная квартира,1.0,86.0,3.0,MISSING,MISSING,2010.0,MISSING,совмещенный,частично меблирована
611,2-комнатная квартира,9.0,88.0,30.0,Нурлы Тау,монолитный,2008.0,MISSING,совмещенный,MISSING
7836,2-комнатная квартира,5.0,46.0,5.0,MISSING,панельный,1976.0,MISSING,раздельный,MISSING
854,4-комнатная квартира,5.0,75.0,5.0,MISSING,MISSING,1975.0,2.5,раздельный,частично меблирована
5584,1-комнатная квартира,-999.0,48.0,-999.0,Новый Мир на Радостовца - Утепова,монолитный,2010.0,2.7,совмещенный,MISSING
255,2-комнатная квартира,10.0,52.4,12.0,Zodiac,монолитный,2016.0,MISSING,совмещенный,частично меблирована
4360,3-комнатная квартира,-999.0,89.1,-999.0,Sholpan City,MISSING,2020.0,2.9,2 с/у и более,MISSING
885,2-комнатная квартира,10.0,63.0,15.0,Асыл Тау,монолитный,2015.0,2.85,совмещенный,MISSING
4269,3-комнатная квартира,6.0,68.5,9.0,MISSING,MISSING,1990.0,2.7,раздельный,частично меблирована
8857,2-комнатная квартира,7.0,62.0,9.0,MISSING,MISSING,1995.0,MISSING,раздельный,частично меблирована
4463,1-комнатная квартира,1.0,37.7,12.0,Акварель,монолитный,2021.0,2.8,совмещенный,MISSING
3792,3-комнатная квартира,11.0,72.0,12.0,Асыл Тау,монолитный,2016.0,MISSING,раздельный,полностью меблирована
2702,2-комнатная квартира,2.0,45.2,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,пустая
8693,2-комнатная квартира,7.0,64.5,9.0,Gagarin Terrace,монолитный,2020.0,2.85,раздельный,MISSING
9480,4-комнатная квартира,2.0,196.0,9.0,Звезда Востока,монолитный,2002.0,MISSING,2 с/у и более,полностью меблирована
2858,3-комнатная квартира,1.0,61.8,5.0,MISSING,MISSING,1975.0,3,MISSING,MISSING
8931,2-комнатная квартира,5.0,60.0,18.0,Гаухартас,монолитный,2013.0,MISSING,MISSING,MISSING
9118,3-комнатная квартира,3.0,60.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,MISSING
7498,2-комнатная квартира,2.0,41.0,4.0,MISSING,MISSING,1964.0,MISSING,совмещенный,MISSING
3630,2-комнатная квартира,5.0,55.0,12.0,Симфония,монолитный,2017.0,2.7,MISSING,MISSING
5105,3-комнатная квартира,4.0,60.0,5.0,MISSING,панельный,1974.0,MISSING,раздельный,частично меблирована
4914,1-комнатная квартира,1.0,33.0,5.0,MISSING,MISSING,1990.0,2.75,совмещенный,частично меблирована
3872,2-комнатная квартира,1.0,70.0,16.0,Астана,монолитный,2009.0,3,MISSING,MISSING
7696,2-комнатная квартира,7.0,64.0,16.0,Jazz-квартал,MISSING,2021.0,3,2 с/у и более,MISSING
901,3-комнатная квартира,10.0,84.0,12.0,Акварель,монолитный,2017.0,MISSING,совмещенный,частично меблирована
6161,1-комнатная квартира,3.0,20.03,4.0,MISSING,MISSING,1974.0,2,совмещенный,частично меблирована
1504,3-комнатная квартира,2.0,94.1,5.0,MISSING,MISSING,1998.0,2.8,2 с/у и более,полностью меблирована
6506,1-комнатная квартира,5.0,48.0,16.0,Талисман,монолитный,2010.0,3,совмещенный,полностью меблирована
318,1-комнатная квартира,16.0,43.4,17.0,Heaven,монолитный,2021.0,3,MISSING,пустая
4544,2-комнатная квартира,1.0,40.0,3.0,MISSING,MISSING,1959.0,MISSING,MISSING,MISSING
7473,4-комнатная квартира,11.0,135.0,11.0,Gagarin Park,MISSING,2018.0,3.2,2 с/у и более,MISSING
8960,4-комнатная квартира,1.0,72.6,5.0,MISSING,MISSING,1977.0,2.5,совмещенный,MISSING
5783,3-комнатная квартира,2.0,59.0,4.0,MISSING,MISSING,1967.0,MISSING,совмещенный,частично меблирована
5676,3-комнатная квартира,5.0,105.0,12.0,Керемет,монолитный,2008.0,3,2 с/у и более,полностью меблирована
937,2-комнатная квартира,8.0,52.4,8.0,MISSING,MISSING,1974.0,2.7,раздельный,MISSING
4508,5-комнатная квартира,1.0,201.0,3.0,Bright Hills,кирпичный,2018.0,3.2,раздельный,MISSING
6593,1-комнатная квартира,5.0,32.2,12.0,Sholpan City,монолитный,2017.0,2.9,MISSING,MISSING
437,2-комнатная квартира,5.0,51.0,5.0,MISSING,MISSING,1985.0,2.8,раздельный,полностью меблирована
7104,2-комнатная квартира,2.0,46.0,4.0,MISSING,MISSING,1969.0,MISSING,совмещенный,пустая
1169,3-комнатная квартира,12.0,73.0,14.0,Шахристан,MISSING,2016.0,MISSING,MISSING,полностью меблирована
1552,5-комнатная квартира,3.0,184.0,6.0,MISSING,MISSING,2012.0,MISSING,2 с/у и более,полностью меблирована
8641,2-комнатная квартира,2.0,42.0,4.0,MISSING,MISSING,1970.0,MISSING,совмещенный,частично меблирована
7788,3-комнатная квартира,13.0,110.0,25.0,Mega Tower Almaty,монолитный,2007.0,MISSING,раздельный,частично меблирована
573,1-комнатная квартира,9.0,38.6,12.0,Акварель,монолитный,2018.0,2.74,совмещенный,MISSING
4547,6-комнатная квартира,3.0,280.0,3.0,Bright Hills,кирпичный,2016.0,3.2,2 с/у и более,полностью меблирована
8455,2-комнатная квартира,4.0,46.0,4.0,MISSING,MISSING,1963.0,2.5,совмещенный,полностью меблирована
6686,1-комнатная квартира,3.0,15.4,5.0,MISSING,MISSING,1977.0,MISSING,MISSING,полностью меблирована
2512,2-комнатная квартира,4.0,82.0,12.0,Бай–тал,монолитный,2016.0,2.8,MISSING,MISSING
6721,3-комнатная квартира,1.0,59.0,5.0,MISSING,MISSING,1974.0,MISSING,совмещенный,полностью меблирована
6200,3-комнатная квартира,5.0,169.0,10.0,Горстрой на Аль-Фараби - Маркова,монолитный,2000.0,2.9,2 с/у и более,полностью меблирована
7083,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1977.0,MISSING,совмещенный,полностью меблирована
2595,3-комнатная квартира,2.0,135.0,4.0,Солнечная Долина,монолитный,2015.0,3.3,2 с/у и более,частично меблирована
2035,3-комнатная квартира,15.0,130.0,21.0,AFD Plaza,монолитный,2014.0,MISSING,2 с/у и более,полностью меблирована
371,2-комнатная квартира,3.0,44.0,4.0,MISSING,MISSING,1962.0,2.7,совмещенный,полностью меблирована
8809,2-комнатная квартира,2.0,80.0,6.0,MISSING,MISSING,2003.0,3,MISSING,полностью меблирована
4945,2-комнатная квартира,7.0,70.0,20.0,AFD Plaza,монолитный,2015.0,MISSING,MISSING,MISSING
205,3-комнатная квартира,16.0,91.0,16.0,Central Esentai Residence,монолитный,2018.0,2.8,MISSING,MISSING
9642,5-комнатная квартира,3.0,404.0,4.0,Тараз,монолитный,2013.0,3.4,2 с/у и более,MISSING
8347,1-комнатная квартира,5.0,41.0,9.0,MISSING,MISSING,1986.0,MISSING,совмещенный,полностью меблирована
8662,2-комнатная квартира,8.0,60.0,16.0,Riviera,монолитный,2020.0,2.85,2 с/у и более,MISSING
7876,3-комнатная квартира,4.0,58.0,5.0,MISSING,MISSING,1976.0,MISSING,MISSING,MISSING
8633,4-комнатная квартира,6.0,135.0,15.0,Дуэт,монолитный,2006.0,2.8,раздельный,полностью меблирована
7907,5-комнатная квартира,12.0,332.0,13.0,Аэлита,монолитный,2007.0,2.87,2 с/у и более,полностью меблирована
4047,4-комнатная квартира,1.0,140.0,5.0,Ремизовка,монолитный,2012.0,3,2 с/у и более,полностью меблирована
2384,3-комнатная квартира,4.0,57.0,4.0,MISSING,панельный,1966.0,2.6,совмещенный,пустая
3745,5-комнатная квартира,7.0,158.0,8.0,Солнечная Долина,монолитный,2017.0,2.9,2 с/у и более,MISSING
391,3-комнатная квартира,2.0,127.0,10.0,Бай–тал,монолитный,2017.0,2.8,раздельный,полностью меблирована
587,1-комнатная квартира,2.0,54.3,10.0,Хан-Тенгри,монолитный,2010.0,2.9,совмещенный,MISSING
