index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1013,3-комнатная квартира,8.0,82.0,10.0,Хан-Тенгри,монолитный,2015,2.9,раздельный,MISSING
1259,1-комнатная квартира,5.0,50.4,10.0,Alma City,монолитный,2021,2.8,MISSING,MISSING
962,1-комнатная квартира,1.0,16.7,4.0,MISSING,MISSING,1969,3.0,MISSING,MISSING
124,1-комнатная квартира,14.0,61.0,16.0,Премьера,монолитный,2012,3.0,MISSING,частично меблирована
1892,3-комнатная квартира,1.0,76.6,9.0,Шугыла,монолитный,2018,2.7,раздельный,частично меблирована
726,1-комнатная квартира,10.0,45.0,10.0,MISSING,MISSING,2019,2.85,совмещенный,пустая
529,4-комнатная квартира,2.0,103.6,4.0,Dolce Vita Residence,кирпичный,2021,3.0,MISSING,MISSING
1602,1-комнатная квартира,5.0,40.0,5.0,MISSING,MISSING,1987,-999.0,MISSING,MISSING
647,1-комнатная квартира,2.0,20.0,2.0,MISSING,MISSING,2017,-999.0,совмещенный,полностью меблирована
972,2-комнатная квартира,9.0,71.6,9.0,Шугыла-Сити,монолитный,2021,-999.0,совмещенный,частично меблирована
944,3-комнатная квартира,8.0,76.0,9.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
1308,3-комнатная квартира,4.0,76.0,10.0,MISSING,MISSING,2020,2.7,совмещенный,полностью меблирована
181,3-комнатная квартира,5.0,88.0,10.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
1521,3-комнатная квартира,3.0,79.0,4.0,MISSING,MISSING,1968,-999.0,совмещенный,частично меблирована
593,1-комнатная квартира,1.0,21.0,3.0,MISSING,MISSING,2013,2.8,совмещенный,полностью меблирована
1223,2-комнатная квартира,6.0,71.4,9.0,MISSING,MISSING,2020,-999.0,MISSING,пустая
12,1-комнатная квартира,-999.0,62.33,-999.0,Lancashire,MISSING,"3 этажа, 2022",3.2,совмещенный,MISSING
1045,2-комнатная квартира,10.0,99.2,16.0,Премьера,монолитный,2012,2.75,совмещенный,MISSING
1157,1-комнатная квартира,6.0,44.0,10.0,MISSING,MISSING,MISSING,-999.0,MISSING,MISSING
1592,1-комнатная квартира,4.0,16.0,5.0,MISSING,MISSING,1986,2.7,MISSING,MISSING
1467,2-комнатная квартира,12.0,59.6,16.0,Gulder,монолитный,2022,2.7,MISSING,MISSING
1196,2-комнатная квартира,3.0,47.0,10.0,Alma City,монолитный,2020,2.8,совмещенный,MISSING
958,3-комнатная квартира,6.0,130.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,частично меблирована
677,2-комнатная квартира,10.0,41.8,10.0,Alma City,монолитный,2020,2.7,совмещенный,пустая
1375,2-комнатная квартира,8.0,62.0,9.0,MISSING,MISSING,2017,-999.0,раздельный,частично меблирована
179,2-комнатная квартира,9.0,60.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
265,1-комнатная квартира,12.0,74.0,14.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
164,2-комнатная квартира,1.0,54.0,3.0,Pioneer,монолитный,2020,3.0,совмещенный,полностью меблирована
1565,1-комнатная квартира,4.0,28.0,10.0,MISSING,MISSING,2020,2.8,совмещенный,частично меблирована
1047,1-комнатная квартира,3.0,45.3,10.0,MISSING,MISSING,2021,2.7,совмещенный,MISSING
1889,4-комнатная квартира,2.0,159.6,9.0,Аль-Фараби,монолитный,2006,2.5,2 с/у и более,полностью меблирована
1877,2-комнатная квартира,6.0,62.0,9.0,Шугыла,монолитный,2017,3.0,раздельный,частично меблирована
507,3-комнатная квартира,4.0,59.0,9.0,Nurly Dala,MISSING,2021,2.7,MISSING,MISSING
1901,1-комнатная квартира,1.0,40.0,9.0,Шугыла,монолитный,2019,2.8,совмещенный,частично меблирована
1012,2-комнатная квартира,15.0,74.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,MISSING
1150,1-комнатная квартира,2.0,40.0,9.0,MISSING,MISSING,MISSING,2.75,совмещенный,полностью меблирована
610,2-комнатная квартира,5.0,33.4,6.0,Аскар Тау,MISSING,2013,2.7,совмещенный,частично меблирована
225,3-комнатная квартира,1.0,130.0,16.0,MISSING,MISSING,2012,2.8,2 с/у и более,MISSING
1009,2-комнатная квартира,3.0,43.0,3.0,Pioneer,MISSING,2020,2.7,совмещенный,MISSING
109,3-комнатная квартира,1.0,110.5,16.0,Премьера,монолитный,2014,2.85,совмещенный,MISSING
1485,3-комнатная квартира,-999.0,62.0,-999.0,Гармония,кирпичный,2021,3.0,MISSING,MISSING
660,1-комнатная квартира,7.0,31.5,9.0,Alma City,монолитный,2022,2.8,совмещенный,пустая
1132,3-комнатная квартира,1.0,78.0,16.0,Gulder,монолитный,2021,2.75,2 с/у и более,пустая
1176,3-комнатная квартира,1.0,97.0,9.0,Хан-Тенгри,монолитный,2010,3.0,2 с/у и более,полностью меблирована
241,2-комнатная квартира,7.0,52.0,9.0,Nurly Dala,монолитный,2021,3.0,раздельный,пустая
836,1-комнатная квартира,7.0,44.5,9.0,Шугыла,монолитный,2017,-999.0,MISSING,MISSING
1015,4-комнатная квартира,8.0,128.0,10.0,Хан-Тенгри,монолитный,2009,2.9,2 с/у и более,MISSING
1118,2-комнатная квартира,6.0,93.0,16.0,Премьера,монолитный,MISSING,-999.0,MISSING,MISSING
1601,2-комнатная квартира,3.0,68.0,9.0,Аль-Фараби,монолитный,2015,-999.0,MISSING,MISSING
1065,1-комнатная квартира,2.0,28.0,10.0,MISSING,MISSING,2021,-999.0,MISSING,MISSING
392,2-комнатная квартира,13.0,74.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,пустая
960,1-комнатная квартира,2.0,44.0,10.0,MISSING,MISSING,2019,-999.0,MISSING,MISSING
1541,1-комнатная квартира,6.0,46.0,10.0,Alma City,монолитный,2019,2.8,совмещенный,полностью меблирована
716,3-комнатная квартира,7.0,120.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,частично меблирована
1122,1-комнатная квартира,6.0,42.5,10.0,Alma City,монолитный,2020,-999.0,совмещенный,частично меблирована
178,1-комнатная квартира,4.0,44.0,9.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
1823,1-комнатная квартира,10.0,51.0,10.0,MISSING,MISSING,2017,-999.0,MISSING,MISSING
1340,1-комнатная квартира,9.0,40.0,10.0,Хан-Тенгри,монолитный,2014,-999.0,раздельный,MISSING
1008,1-комнатная квартира,1.0,43.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1144,1-комнатная квартира,9.0,45.5,10.0,Хан-Тенгри,монолитный,2013,2.8,совмещенный,пустая
1755,4-комнатная квартира,16.0,159.0,16.0,MISSING,MISSING,2012,-999.0,раздельный,пустая
